graph_encoder,relative_step,n_available,tracking_rate_mean,connectivity_mean,chain_closed_mean,recovery_cdf
single,-20,100,0.333333,0.631667,0,0
single,-19,100,0.333333,0.603333,0,0
single,-18,100,0.333333,0.633333,0,0
single,-17,100,0.333333,0.653333,0,0
single,-16,100,0.333333,0.646667,0,0
single,-15,100,0.333333,0.668333,0,0
single,-14,100,0.333333,0.631667,0,0
single,-13,100,0.333333,0.608333,0,0
single,-12,100,0.343333,0.598333,0,0
single,-11,100,0.473333,0.636667,0,0
single,-10,100,0.566667,0.671667,0,0
single,-9,100,0.636667,0.701667,0,0
single,-8,100,0.663333,0.75,0,0
single,-7,100,0.94,0.78,0,0
single,-6,100,1,0.781667,0,0
single,-5,100,1,0.861667,0,0
single,-4,100,1,0.845,0,0
single,-3,100,1,0.801667,0,0
single,-2,100,1,0.826667,0,0
single,-1,100,1,0.825,0,0
single,0,100,1,0.785,0,0
single,1,100,1,0.221667,0,0
single,2,100,1,0.236667,0,0
single,3,100,1,0.255,0,0
single,4,100,0.996667,0.241667,0.19,0.19
single,5,81,0.975309,0.209877,0.283951,0.283951
single,6,58,0.925287,0.215517,0.258621,0.258621
single,7,43,0.813953,0.251938,0.209302,0.209302
single,8,34,0.77451,0.220588,0.147059,0.147059
single,9,29,0.712644,0.195402,0.103448,0.103448
single,10,26,0.679487,0.224359,0.0769231,0.0769231
single,11,24,0.652778,0.229167,0,0
single,12,24,0.625,0.229167,0.0416667,0.0416667
single,13,23,0.507246,0.224638,0,0
single,14,23,0.492754,0.26087,0,0
single,15,23,0.449275,0.231884,0,0
single,16,23,0.362319,0.23913,0,0
single,17,23,0.246377,0.268116,0,0
single,18,23,0.15942,0.231884,0,0
single,19,23,0.0144928,0.231884,0,0
single,20,23,0,0.231884,0,0
single,21,23,0,0.210145,0,0
single,22,23,0,0.268116,0,0
single,23,23,0,0.23913,0,0
single,24,23,0,0.224638,0,0
single,25,23,0,0.217391,0,0
single,26,23,0,0.231884,0,0
single,27,23,0,0.231884,0,0
single,28,23,0,0.23913,0,0
single,29,23,0,0.231884,0,0
single,30,23,0,0.224638,0,0
single,31,23,0,0.224638,0,0
single,32,23,0,0.202899,0,0
single,33,23,0,0.217391,0,0
single,34,23,0,0.23913,0,0
single,35,23,0,0.253623,0,0
single,36,23,0,0.173913,0,0
single,37,23,0,0.253623,0,0
single,38,23,0,0.231884,0,0
single,39,23,0,0.231884,0,0
single,40,23,0,0.217391,0,0
single,41,23,0,0.202899,0,0
single,42,23,0,0.152174,0,0
single,43,23,0,0.181159,0,0
single,44,23,0,0.195652,0,0
single,45,23,0,0.181159,0,0
single,46,23,0,0.181159,0,0
single,47,23,0,0.173913,0,0
single,48,23,0,0.181159,0,0
single,49,23,0,0.166667,0,0
single,50,23,0,0.144928,0,0
single,51,23,0,0.137681,0,0
single,52,23,0,0.130435,0,0
single,53,23,0,0.130435,0,0
single,54,23,0,0.137681,0,0
single,55,23,0,0.108696,0,0
single,56,23,0,0.137681,0,0
single,57,23,0,0.130435,0,0
single,58,23,0,0.137681,0,0
single,59,23,0,0.137681,0,0
single,60,23,0,0.137681,0,0
single,61,23,0,0.101449,0,0
single,62,23,0,0.101449,0,0
single,63,23,0,0.0724638,0,0
single,64,23,0,0.108696,0,0
single,65,23,0,0.108696,0,0
single,66,23,0,0.0797101,0,0
single,67,23,0,0.0797101,0,0
single,68,23,0,0.0797101,0,0
single,69,23,0,0.0942029,0,0
single,70,23,0,0.0724638,0,0
single,71,23,0,0.0724638,0,0
