cohort,seed_index,original_gain_vs_utr,egtr_gain_vs_utr,egtr_minus_original,oracle_utr_fallback_gain
A,1,-38.9115800081434,-14.758442283354242,24.15313772478916,0.0
A,2,-4.366501752085355,26.315384088111273,30.681885840196628,26.315384088111273
A,3,-166.16626171319433,-65.79627813877536,100.36998357441897,0.0
A,4,-39.89134340796153,-14.816228295885168,25.07511511207636,0.0
A,5,-9.103927624525198,67.12607339526215,76.23000101978735,67.12607339526215
B,1,-128.5594116207352,-34.416936250294896,94.14247537044031,0.0
B,2,-21.85187134714954,29.94082760592923,51.79269895307877,29.94082760592923
B,3,-30.32116370040302,7.161212272080604,37.482375972483624,7.161212272080604
B,4,25.98754788782137,137.58864267899034,111.60109479116898,137.58864267899034
B,5,-62.75449409745789,27.577700994907246,90.33219509236514,27.577700994907246
