J_pert_mean,method,seed,tape
211.05551845632027,drtp_sg,1901,T0
213.75237766286358,drtp_sg,1901,T1
214.23872224871883,drtp_sg,1901,T2
211.27058545902838,drtp_sg,1901,T3
207.23195821471512,drtp_sg,1901,T4
170.9978992813453,drtp_sg,1902,T0
160.90439614239148,drtp_sg,1902,T1
163.16050580479902,drtp_sg,1902,T2
161.70754919924775,drtp_sg,1902,T3
157.53006530035054,drtp_sg,1902,T4
209.292444989942,drtp_sg,2001,T0
208.21409132597967,drtp_sg,2001,T1
208.96665992905386,drtp_sg,2001,T2
214.25907267464325,drtp_sg,2001,T3
211.55860860868358,drtp_sg,2001,T4
88.35545954052665,drtp_sg,2002,T0
89.89344521888422,drtp_sg,2002,T1
90.12762828823884,drtp_sg,2002,T2
89.31739932096389,drtp_sg,2002,T3
91.29400023983348,drtp_sg,2002,T4
225.27802705773036,drtp_sg,2003,T0
221.03193710105202,drtp_sg,2003,T1
226.10389195881436,drtp_sg,2003,T2
221.1378460114199,drtp_sg,2003,T3
219.65544791639127,drtp_sg,2003,T4
141.02634749975638,utr_sg,1901,T0
136.47132376092136,utr_sg,1901,T1
136.18419927794747,utr_sg,1901,T2
141.78635035034443,utr_sg,1901,T3
130.66605409373642,utr_sg,1901,T4
76.21790987413843,utr_sg,1902,T0
74.5084752018936,utr_sg,1902,T1
77.69089592119678,utr_sg,1902,T2
73.51867137639783,utr_sg,1902,T3
77.26773267116863,utr_sg,1902,T4
89.8207086546137,utr_sg,2001,T0
89.60728331945138,utr_sg,2001,T1
90.57732247672277,utr_sg,2001,T2
91.90395512040705,utr_sg,2001,T3
88.50487541609677,utr_sg,2001,T4
175.77305221952398,utr_sg,2002,T0
174.9480260950007,utr_sg,2002,T1
179.8517470238916,utr_sg,2002,T2
173.3217772890273,utr_sg,2002,T3
173.86038437081717,utr_sg,2002,T4
184.95660495136778,utr_sg,2003,T0
193.16926204161922,utr_sg,2003,T1
184.51415586177058,utr_sg,2003,T2
185.81017133128466,utr_sg,2003,T3
196.4429832034139,utr_sg,2003,T4
