method,replicates,episodes_per_replicate,success_mean,success_std,chain_closed_mean,chain_closed_std,attack_window_formed_mean,attack_window_formed_std,attack_window_rate_mean,attack_window_rate_std,tracking_rate_mean,tracking_rate_std,comm_connectivity_mean,comm_connectivity_std,mean_message_age_mean,mean_message_age_std,collision_mean,collision_std,timeout_mean,timeout_std,constraint_violation_mean,constraint_violation_std,steps_mean,steps_std,avg_mean_range_mean,avg_mean_range_std,final_mean_range_mean,final_mean_range_std,reward_sum_mean,reward_sum_std
RI-GMAPPO BC-only,3,30,0.9333333333333332,0.11547005383792514,0.9333333333333332,0.11547005383792514,0.9888888888888889,0.01924500897298752,0.02755756617431637,0.0030276052276942073,0.4164888159791052,0.04060561449306975,0.9696296297714242,0.05260302428057051,45.279553318495545,2.4987626883626914,0.0,0.0,0.06666666666666667,0.11547005383792518,0.0,0.0,59.77777777777778,24.67210150337001,16310.817725966326,2658.113600453192,10234.431448025174,8931.839895236119,36.89068340769865,6.287506742062245
RI-GMAPPO BC-to-PPO,3,30,0.9222222222222222,0.10715167512214392,0.9222222222222222,0.10715167512214392,0.9777777777777779,0.03849001794597504,0.027119052197999077,0.0028446399836057996,0.4140511652979024,0.03912719020410754,0.9701424503899537,0.03928290382122112,49.52045737471028,2.3297887251122633,0.0,0.0,0.07777777777777778,0.10715167512214395,0.0,0.0,62.28888888888889,22.79913091261091,16554.808062959903,2484.426553702276,11097.439908854167,8333.01512452622,36.40377696777384,5.474723844988464
