epoch,loss,action_accuracy,samples,demo_success_rate,balanced_loss
1,0.45167481402556103,0.8353909465020576,9072,1.0,0
2,0.419135472840733,0.843915343915344,9072,1.0,0
3,0.41350141333209145,0.8452013521457966,9072,1.0,0
4,0.4183890339401033,0.8428497942386831,9072,1.0,0
5,0.41433938758240807,0.8422986478542034,9072,1.0,0
6,0.40567978968222934,0.847663139329806,9072,1.0,0
7,0.40464703490336734,0.8483980011757789,9072,1.0,0
8,0.4101451329059071,0.8466710758377425,9072,1.0,0
9,0.411117870774534,0.8464873603762493,9072,1.0,0
10,0.4027950656082895,0.8472222222222222,9072,1.0,0
11,0.4151674161354701,0.841931216931217,9072,1.0,0
12,0.4086965363886621,0.8436581422692534,9072,1.0,0
13,0.40473415288660264,0.8472589653145208,9072,1.0,0
14,0.40290845599439407,0.8474059376837154,9072,1.0,0
15,0.41706383062733543,0.8435479129923574,9072,1.0,0
16,0.40011952072381973,0.848802175191064,9072,1.0,0
17,0.40786106553342605,0.8471119929453262,9072,1.0,0
18,0.3976920288470056,0.8504923574368018,9072,1.0,0
19,0.40706086572673583,0.8453115814226926,9072,1.0,0
20,0.3995700851082802,0.8479203409758965,9072,1.0,0
