update,loss,policy_loss,value_loss,entropy,intent_loss,intent_acc,chain_aux_loss,chain_aux_acc,chain_aux_effective_coef,approx_kl,clip_fraction,grad_norm,explained_variance,ppo_epochs_ran,critic_warmup_active,train_avg_reward,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_steps,eval_avg_distance,eval_intent_acc
1,0.5825922936201096,2.9103830456733704e-11,1.1651845872402191,1.3642291724681854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6076703444123268,0.03395726531744003,2,1.0,0.04008166119456291,0.0,0.0,1.0,260.0,13271.03515625,nan
2,0.09751435182988644,-1.7404090613126755e-08,0.19502870365977287,1.3590433895587921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26739012263715267,0.07441873103380203,2,1.0,-0.015076116658747196,,,,,,
3,0.6410971283912659,2.7124769985675812e-08,1.2821942567825317,1.4481413662433624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6668849214911461,0.06378987431526184,2,1.0,0.04489751160144806,,,,,,
4,0.07168582174926996,2.6557245291769505e-09,0.14337164349853992,1.4212950319051743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3319660723209381,-0.02020411193370819,2,1.0,-0.019181502982974052,,,,,,
5,0.6846467405557632,1.3387762010097504e-09,1.3692934811115265,1.4512873589992523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6733172386884689,0.09012113511562347,2,1.0,0.04182093217968941,,,,,,
6,0.08101518824696541,-3.329478204250336e-08,0.16203037649393082,1.4867886304855347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4174410179257393,0.04312823712825775,2,1.0,-0.025216756388545036,,,,,,
7,0.5734027475118637,6.984919309616089e-10,1.1468054950237274,1.4442609548568726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.552466407418251,0.12698723375797272,2,1.0,0.03369550779461861,,,,,,
8,0.16779547557234764,-1.1408701539039612e-08,0.3355909511446953,1.4446829706430435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17738688178360462,0.15338370203971863,2,1.0,-0.0057210917584598064,,,,,,
9,0.5350480936467648,1.7578713595867157e-08,1.0700961872935295,1.3844041377305984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5339464843273163,0.16889475286006927,2,1.0,0.028627047315239906,,,,,,
10,0.15092523582279682,3.4151526051573455e-09,0.30185047164559364,1.4021331369876862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22331012226641178,0.2112198770046234,2,1.0,-0.00939182285219431,,,,,,
11,0.4705403819680214,6.83940015733242e-09,0.9410807639360428,1.455105796456337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5459205657243729,0.22329267114400864,2,1.0,0.029827982187271118,,,,,,
12,0.11087917163968086,-2.3908796720206738e-08,0.22175834327936172,1.4261678904294968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38117579370737076,0.315884031355381,2,1.0,-0.018941253423690796,,,,,,
13,0.44159894436597824,3.0850060284137726e-09,0.8831978887319565,1.450250893831253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5974896848201752,0.29924872517585754,2,1.0,0.02738264948129654,,,,,,
14,0.13437725696712732,-2.385058905929327e-08,0.26875451393425465,1.4173637330532074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4779116325080395,0.38487233966588974,2,1.0,-0.02455868385732174,,,,,,
15,0.7162464708089828,-9.313225746154785e-09,1.4324929416179657,1.4378574341535568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0387594923377037,0.26491329073905945,2,1.0,0.05754128471016884,,,,,,
16,0.11238097492605448,1.6298145055770874e-09,0.22476194985210896,1.6217406243085861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.321515467017889,-0.16333380341529846,2,1.0,-0.022998759523034096,,,,,,
17,0.6122149005532265,3.019522409886122e-08,1.224429801106453,1.3652003854513168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0204905942082405,0.35485950112342834,2,1.0,0.052418723702430725,,,,,,
18,0.057872810401022434,-7.008202373981476e-08,0.11574562080204487,1.336086556315422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48348233848810196,-0.030042864382267,2,1.0,-0.0287784356623888,,,,,,
19,0.5510166920721531,2.1478626877069473e-08,1.1020333841443062,1.3777073472738266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0390078276395798,0.3937999829649925,2,1.0,0.05077013373374939,,,,,,
20,0.19191616028547287,-1.1685187928378582e-08,0.38383232057094574,1.4658848345279694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5200194418430328,0.38798661530017853,2,1.0,-0.021137451753020287,,,,,,
21,0.6029790937900543,0.001543403101095464,1.211316004395485,1.4074329733848572,0.0,0.0,0.0,0.0,0.0,0.0012636034152819775,0.03971354174427688,3.502320647239685,0.43195919692516327,2,0.0,0.045211780816316605,,,,,,
22,0.19273600191809237,-0.0006792368367314339,0.3954656682908535,1.4391972571611404,0.0,0.0,0.0,0.0,0.0,0.0005831794660480227,0.020996093677240424,1.7126504555344582,0.35342417657375336,2,0.0,-0.010830252431333065,,,,,,
23,0.38653139024972916,-0.0001586466678418219,0.781721256673336,1.3901963531970978,0.0,0.0,0.0,0.0,0.0,0.0004966090727975825,0.02197265625,2.466233119368553,0.49662530422210693,2,0.0,0.02558211050927639,,,,,,
24,0.15670709568075836,1.7710961401462555e-05,0.32212454453110695,1.4576291590929031,0.0,0.0,0.0,0.0,0.0,0.0004437427378434222,0.020182291511446238,2.306054502725601,0.5136127024888992,2,0.0,-0.009486576542258263,,,,,,
25,0.33343496918678284,-0.0006624027737416327,0.6769601330161095,1.4608997404575348,0.0,0.0,0.0,0.0,0.0,0.00030922979976821807,0.009928385319653898,1.8635176792740822,0.5127656161785126,2,0.0,0.015640730038285255,,,,,,
26,0.21553380601108074,-0.0010741098376456648,0.44238827750086784,1.5287407636642456,0.0,0.0,0.0,0.0,0.0,0.000470125386982545,0.01920572970993817,1.430186241865158,0.4821251332759857,2,0.0,-0.006712188944220543,,,,,,
