update,loss,policy_loss,value_loss,entropy,intent_loss,intent_acc,chain_aux_loss,chain_aux_acc,chain_aux_effective_coef,approx_kl,clip_fraction,grad_norm,explained_variance,ppo_epochs_ran,critic_warmup_active,train_avg_reward,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_steps,eval_avg_distance,eval_intent_acc
1,0.9780753329396248,-3.38914105668664e-08,1.9561506658792496,1.3571656495332718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0238905251026154,-0.006189659237861633,2,1.0,0.07963750511407852,1.0,0.0,0.0,120.0,11254.5291015625,nan
2,0.6388186663389206,-2.1653249859809875e-08,1.2776373326778412,1.511444941163063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.763071708381176,0.020135700702667236,2,1.0,0.06606290489435196,,,,,,
3,0.8451673686504364,9.051291272044182e-09,1.6903347373008728,1.3596644848585129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8935897201299667,0.007490567862987518,2,1.0,0.07453418523073196,,,,,,
4,0.5896025486290455,4.3379259295761585e-08,1.179205097258091,1.4047217667102814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6883586868643761,0.03133285790681839,2,1.0,0.05891513451933861,,,,,,
5,0.6809552609920502,2.9511284083127975e-08,1.3619105219841003,1.4448706209659576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7810107246041298,0.013975270092487335,2,1.0,0.0660519152879715,,,,,,
6,0.7103241309523582,-6.332993507385254e-08,1.4206482619047165,1.4659127593040466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.847929522395134,0.040610119700431824,2,1.0,0.06697452068328857,,,,,,
7,0.9172530174255371,-5.238689482212067e-10,1.8345060348510742,1.4156522005796432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1831536069512367,0.04477965831756592,2,1.0,0.08536543697118759,,,,,,
8,0.5712530687451363,-1.05355866253376e-08,1.1425061374902725,1.3798707276582718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7650187239050865,0.044771917164325714,2,1.0,0.06093909218907356,,,,,,
9,0.7157102301716805,-7.345806807279587e-08,1.431420460343361,1.4412493109703064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0011162906885147,0.06752284616231918,2,1.0,0.07268067449331284,,,,,,
10,0.6620599031448364,-7.954076863825321e-08,1.3241198062896729,1.4218797981739044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0876857861876488,0.05900489538908005,2,1.0,0.07546747475862503,,,,,,
11,0.9307936355471611,-2.8347130864858627e-08,1.8615872710943222,1.4437175989151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.569942057132721,0.03695221245288849,2,1.0,0.10531757026910782,,,,,,
12,0.3791769817471504,-1.30385160446167e-08,0.7583539634943008,1.4609281420707703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20445759035646915,0.05949052423238754,2,1.0,0.021484429016709328,,,,,,
13,0.7385197207331657,1.1408701539039612e-08,1.4770394414663315,1.3684425055980682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8989890739321709,0.10091853886842728,2,1.0,0.05814220383763313,,,,,,
14,0.6133268103003502,-3.183959051966667e-08,1.2266536206007004,1.3854098469018936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.051468513906002,0.09762261062860489,2,1.0,0.06992870569229126,,,,,,
15,0.6074772924184799,-3.795139491558075e-08,1.2149545848369598,1.4198808670043945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8598807975649834,0.09132788330316544,2,1.0,0.05966075137257576,,,,,,
16,0.7482079342007637,2.6891939342021942e-08,1.4964158684015274,1.479279175400734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2783952727913857,0.12022294104099274,2,1.0,0.07650724798440933,,,,,,
17,0.616827018558979,-2.2351741790771484e-08,1.233654037117958,1.4515495300292969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19944067299366,0.10410969704389572,2,1.0,0.06833209097385406,,,,,,
18,0.7084194645285606,-3.64816514775157e-08,1.4168389290571213,1.4376330822706223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.438104823231697,0.11959592998027802,2,1.0,0.07846695929765701,,,,,,
19,0.7064647227525711,-1.146690919995308e-08,1.4129294455051422,1.4492148458957672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.873401015996933,0.11058594286441803,2,1.0,0.061098646372556686,,,,,,
20,0.43587789312005043,9.080395102500916e-09,0.8717557862401009,1.379900485277176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31122617423534393,0.14144772291183472,2,1.0,0.03163741156458855,1.0,0.0,0.0,120.0,11254.5291015625,nan
21,0.7680824026465416,-0.00023182090080808848,1.5451653003692627,1.4228072315454483,0.0,0.0,0.0,0.0,0.0,0.0008504644392814953,0.030273437150754035,1.742471918463707,0.18000521510839462,2,0.0,0.06636806577444077,,,,,,
22,0.4367597661912441,-0.0005352688021957874,0.883163183927536,1.4288540184497833,0.0,0.0,0.0,0.0,0.0,0.0007503172564611305,0.024251301831100136,1.8161697685718536,0.18414852768182755,2,0.0,0.0668829157948494,,,,,,
23,0.7889545112848282,-0.0006524703640025109,1.587454229593277,1.3733793646097183,0.0,0.0,0.0,0.0,0.0,0.0004041632441840193,0.014973958182963543,2.0945935547351837,0.19357949495315552,2,0.0,0.09794662147760391,,,,,,
24,0.6020604446530342,-0.00040812918450683355,1.213427111506462,1.4149918407201767,0.0,0.0,0.0,0.0,0.0,0.00023923130515868252,0.00764973959303461,1.9503656029701233,0.2081577330827713,2,0.0,0.08246457576751709,,,,,,
25,0.7671255245804787,-0.0002490056067472324,1.5431685745716095,1.4032481759786606,0.0,0.0,0.0,0.0,0.0,0.00035600593082563137,0.01236979168606922,1.9164384752511978,0.21460573375225067,2,0.0,0.08410701900720596,,,,,,
26,0.5107200182974339,-0.00041255640098825097,1.0309221521019936,1.4428357779979706,0.0,0.0,0.0,0.0,0.0,0.0005231941404417739,0.023925781177240424,2.139471784234047,0.20103814452886581,2,0.0,0.07803533226251602,,,,,,
27,0.47150370851159096,-0.0005941515846643597,0.9527015909552574,1.4176445603370667,0.0,0.0,0.0,0.0,0.0,0.00033630216921665124,0.013183593691792339,1.68195478618145,0.18843527883291245,2,0.0,0.06468573957681656,,,,,,
