arm,seed,checkpoint_label,condition,J,collision,timeout,constraint_violation,failure_exposure,failure_exposure_all_scheduled,episode_length,risk_set_size,survival_to_onset_fraction,failure_trigger_success_rate_risk_set,pretrigger_collision_count,pretrigger_collision_rate,path_switch_count,direct_path_fraction,relay_path_fraction,task_support_fraction,legal_information_fraction,mean_cache_age,traveled_distance,control_effort
utr_sg,2402,10m,compound_60_120,163.71049016025847,0.0,0.6,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,17.68,0.1435,0.0,0.6000833333333333,0.6948333333333333,32.54427777777778,140256.77332580567,1093.55
utr_sg,2403,10m,nominal,249.8112655813992,0.0,0.53,0.0,nan,nan,260.0,0,nan,nan,0,nan,18.73,0.0,0.0,0.0,0.0,nan,138591.5724328613,911.19
utr_sg,2403,10m,f0_seen_44_80,223.53784988034516,0.0,0.85,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,11.03,0.196,0.0,0.690375,1.0,13.954,133145.51961395264,821.57
utr_sg,2403,10m,timing_28_80,227.7812014076486,0.0,0.65,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,14.45,0.313,0.0,0.580625,1.0,13.892750000000001,137326.04610168457,906.34
utr_sg,2403,10m,timing_36_80,224.08241784047334,0.0,0.74,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,11.83,0.25587499999999996,0.0,0.63125,1.0,13.893333333333333,134836.13552337646,834.02
utr_sg,2403,10m,timing_52_80,223.1201375480555,0.0,0.84,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,11.52,0.136125,0.0,0.7547499999999999,1.0,14.134,132549.36883789062,816.91
utr_sg,2403,10m,timing_60_80,225.33653596119956,0.0,0.85,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,11.15,0.06924999999999999,0.0,0.8376250000000001,1.0,14.53425,132851.35539459228,813.04
utr_sg,2403,10m,duration_44_40,235.17478498537093,0.0,0.68,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,12.52,0.37424999999999997,0.0,0.43200000000000005,1.0,7.674666666666667,138045.74436706543,925.68
utr_sg,2403,10m,duration_44_60,233.17604008171708,0.0,0.66,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,13.91,0.25849999999999995,0.0,0.5936666666666667,1.0,10.749777777777776,137777.88692016603,917.04
utr_sg,2403,10m,duration_44_100,220.37503045920283,0.0,0.83,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,11.4,0.1589,0.0,0.7492,1.0,17.213866666666664,132379.97098480223,816.16
utr_sg,2403,10m,duration_44_120,212.0160877412185,0.0,0.82,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,11.89,0.13458333333333333,0.0,0.7891666666666667,1.0,20.509055555555555,131906.2908856201,855.52
utr_sg,2403,10m,compound_28_120,217.85921869773418,0.0,0.68,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,12.51,0.21075,0.0,0.7173333333333334,1.0,20.43325,134971.57124938964,851.29
