protocol,development_episode_id,method,train_seed,condition,J,success_at_horizon,collision,timeout,constraint_violation,terminal_step,failure_exposed,direct_path_fraction_during_failure,relay_path_fraction_during_failure,task_support_fraction_during_failure,legal_information_fraction_during_failure,mean_cache_age_during_failure,path_switch_count,traveled_distance,control_effort,evaluation_budget,topology_condition,onset,duration,checkpoint_sha256,tape_hash,inference_unit
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500010,drtp_sg,2401,nominal,197.5512809921056,0.0,0.0,1.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,5,162004.95501708984,1074.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500011,drtp_sg,2401,nominal,151.6070532500744,0.0,0.0,1.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,1,165400.03201293945,1208.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500012,drtp_sg,2401,nominal,208.2802006425336,1.0,0.0,0.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,19,160939.97732543945,1068.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500013,drtp_sg,2401,nominal,205.47777124028653,0.0,0.0,1.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,9,163127.00338745117,1039.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500014,drtp_sg,2401,nominal,215.89950299263,1.0,0.0,0.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,16,162187.98727416992,1096.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500015,drtp_sg,2401,nominal,208.78059031348675,1.0,0.0,0.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,1,162561.93240356445,1068.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500016,drtp_sg,2401,nominal,156.14394587650895,1.0,0.0,0.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,1,164087.99746704102,1196.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500017,drtp_sg,2401,nominal,212.93139973375946,1.0,0.0,0.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,23,161425.98654174805,1100.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500018,drtp_sg,2401,nominal,167.9674190375954,0.0,0.0,1.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,1,165504.99255371094,1187.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500019,drtp_sg,2401,nominal,211.52358543500304,1.0,0.0,0.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,1,161199.96856689453,1056.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
