seed,delta_J_nominal,delta_J_F0,delta_J_pert_mean,delta_J_pert_worst,delta_collision_fault_mean,delta_timeout_fault_mean
2401,-25.1614232939761,-49.30313708310945,-54.25984454020485,-51.66158110952006,0.1990909090909091,-0.009090909090909094
2402,-41.22195239855907,21.12286456792617,11.664127746255133,25.937188475644206,-0.0009090909090909091,-0.014545454545454528
2403,-115.41072960091753,-141.5728851622343,-123.87199350051024,-131.50445244380273,0.01,0.1427272727272727
2404,-27.962064497740926,-25.103538796305656,-29.143445189605472,-53.008457030532895,-0.02,0.00909090909090915
2405,18.019140663398446,28.515464732926347,25.255482789726017,48.413433327525865,0.02363636363636364,0.030909090909090886
