arm,n_training_seeds,J_nominal,J_F0,J_pert_mean,J_pert_worst,collision_fault_mean,timeout_fault_mean,constraint_fault_mean,pretrigger_collision_count,risk_set_size,trigger_validity_risk_set
drtp_sg,5,187.35205488280022,166.13045132088288,166.4126495187913,149.6132212485466,0.05163636363636364,0.6778181818181819,0.0,11.6,1088.4,1.0
snr_sg,5,184.64149333742728,183.07191548777976,177.9981604470094,159.62999045950966,0.013818181818181818,0.6609090909090909,0.0,3.2,1096.8,1.0
utr_sg,5,225.69946070835925,199.39869766904226,200.4837840576592,181.97799500468375,0.009272727272727273,0.646,0.0,3.2,1096.8,1.0
