comparison,endpoint,mean,median,wins_over_zero,total_seeds,worst
drtp_sg_minus_utr_sg,J_nominal,-38.347405825559036,-27.962064497740926,1,5,-115.41072960091753
drtp_sg_minus_utr_sg,J_F0,-33.26824634815937,-25.103538796305656,2,5,-141.5728851622343
drtp_sg_minus_utr_sg,J_pert_mean,-34.07113453886788,-29.143445189605472,2,5,-123.87199350051024
drtp_sg_minus_utr_sg,J_pert_worst,-32.364773756137126,-51.66158110952006,2,5,-131.50445244380273
drtp_sg_minus_utr_sg,collision_fault_mean,0.04236363636363637,0.01,3,5,-0.02
drtp_sg_minus_utr_sg,timeout_fault_mean,0.03181818181818182,0.00909090909090915,3,5,-0.014545454545454528
