arm,seed,J_nominal,J_F0,J_pert_mean,J_pert_worst,collision_fault_mean,timeout_fault_mean,constraint_fault_mean,pretrigger_collision_count,risk_set_size,trigger_validity_risk_set
drtp_sg,2401,190.05039066411555,173.16200481845067,170.43564842996142,161.65118193833158,0.1990909090909091,0.49727272727272726,0.0,9,1091,1.0
drtp_sg,2402,171.08671482434497,166.995184928244,164.93513318389932,156.9053731727507,0.0,0.7618181818181818,0.0,0,1100,1.0
drtp_sg,2403,134.40053598048166,81.96496471811086,99.06092918589339,78.9033196976129,0.01,0.9081818181818182,0.0,9,1091,1.0
drtp_sg,2404,212.20721791836434,197.52578681208195,191.75752540590335,158.4054289426375,0.0,0.5909090909090909,0.0,0,1100,1.0
drtp_sg,2405,229.01541502669454,211.004315327527,205.87401138829907,192.2008024914004,0.049090909090909095,0.6309090909090909,0.0,40,1060,1.0
snr_sg,2401,145.5873688012082,168.42812648475171,150.60651886739024,89.67540844262578,0.0,0.9,0.0,0,1100,1.0
snr_sg,2402,202.8439149171021,194.76525875328107,194.08715547803044,186.21620902983472,0.053636363636363635,0.46,0.0,0,1100,1.0
snr_sg,2403,204.4742482692981,189.50186133246405,189.45559387407778,185.90240769945086,0.015454545454545455,0.7009090909090909,0.0,16,1084,1.0
snr_sg,2404,189.29054214904085,190.8206517552561,183.48703506421228,171.04792196129682,0.0,0.6481818181818182,0.0,0,1100,1.0
snr_sg,2405,181.01139255048707,171.84367911314592,172.35449895133635,165.30800516434013,0.0,0.5954545454545455,0.0,0,1100,1.0
utr_sg,2401,215.21181395809165,222.46514190156012,224.69549297016627,213.31276304785163,0.0,0.5063636363636363,0.0,0,1100,1.0
utr_sg,2402,212.30866722290403,145.87232036031781,153.2710054376442,130.9681846971065,0.0009090909090909091,0.7763636363636364,0.0,0,1100,1.0
utr_sg,2403,249.8112655813992,223.53784988034516,222.93292268640363,210.40777214141562,0.0,0.7654545454545455,0.0,0,1100,1.0
utr_sg,2404,240.16928241610526,222.6293256083876,220.90097059550882,211.4138859731704,0.02,0.5818181818181818,0.0,16,1084,1.0
utr_sg,2405,210.9962743632961,182.48885059460065,180.61852859857305,143.78736916387453,0.025454545454545455,0.6,0.0,0,1100,1.0
