seed,update,policy_guard_epoch,attempted_kl,accepted_kl,alpha,backtrack_iterations
3201,246,4,0.024268029257655144,0.019999999552965164,0.6658264994621277,24
3201,356,4,0.024815862998366356,0.019999999552965164,0.24197959899902344,24
3201,358,4,0.026758965104818344,0.019999999552965164,0.41829872131347656,24
3201,415,4,0.024488557130098343,0.019999999552965164,0.13515466451644897,24
3201,1902,4,0.02057374082505703,0.019999999552965164,0.916027843952179,24
3202,262,4,0.020475078374147415,0.019999999552965164,0.9437917470932007,24
3202,296,3,0.021878337487578392,0.019999999552965164,0.8355299234390259,24
3202,442,4,0.020970862358808517,0.019999999552965164,0.8613938093185425,24
3203,131,4,0.022006627172231674,0.019999999552965164,0.7569571733474731,24
3203,489,4,0.022266224026679993,0.019999999552965164,0.7699804306030273,24
3203,502,3,0.024760140106081963,0.019999999552965164,0.6182655692100525,24
3203,876,4,0.025349175557494164,0.019999999552965164,0.3590906858444214,24
3203,1197,3,0.027736103162169456,0.019999999552965164,0.20058345794677734,24
3203,1595,4,0.021571798250079155,0.019999999552965164,0.6919299960136414,24
