seed,first_guard_update,first_guard_kl_attempted,first_guard_alpha,guard_event_count,first_q_divergence_update,first_q_divergence_l1,max_paired_q_l1,final_paired_q_l1,original_mean_q_uniform_l1,klb_mean_q_uniform_l1,G_original,G_klb,klb_minus_original,temporal_ordering,amplification,nonimprovement
3201,246,0.024268029257655144,0.6658264994621277,5,256,0.0011816540438151502,0.6037304839077512,0.6037304839077512,0.36538718014253496,0.4877880429126767,-46.164629392583166,-46.66166110427352,-0.4970317116903544,True,True,True
3202,262,0.020475078374147415,0.9437917470932007,3,416,0.008552389286556758,0.4322971310525475,0.08209972653736163,0.5520440019810734,0.6262309488964443,-7.868271326135144,-31.341548810641978,-23.473277484506834,True,True,True
3203,131,0.022006627172231674,0.7569571733474731,6,160,0.0364909493013352,0.755654647730678,0.6308380503599186,0.49790814674176936,0.5667149919617108,-39.84648102236709,-49.668821932706344,-9.822340910339257,True,True,True
