method,train_seed,update_start,update_end,environment_steps_million,train_avg_reward,approx_kl,clip_fraction
utr_sg,2301,1,500,0.000256,-0.01236868338422937,0.00107352311573815,0.007336588754376862
utr_sg,2301,501,1000,0.128256,0.024166659071110187,0.0009616489059517335,0.005236328299797605
utr_sg,2301,1001,1500,0.256256,0.07432192251019296,0.00047741872437776086,0.0010091146054910496
utr_sg,2301,1501,2000,0.384256,0.08930382991721854,0.0006785494930407669,0.0029947917586541735
utr_sg,2301,2001,2500,0.512256,0.07838409590537776,0.0008113914582272627,0.004479817827930674
utr_sg,2301,2501,3000,0.640256,0.12253978375624865,0.0005992192309621866,0.0028066407205187714
utr_sg,2301,3001,3500,0.768256,0.14262090118974446,0.0008216965869967983,0.004300781363563147
utr_sg,2301,3501,4000,0.896256,0.1540516709536314,0.0007441785699531161,0.003324869880452752
utr_sg,2301,4001,4500,1.024256,0.18637733285874128,0.0008193606593889246,0.004048177194606978
utr_sg,2301,4501,5000,1.152256,0.19298917426913978,0.001040453344265643,0.00660872413625475
utr_sg,2301,5001,5500,1.280256,0.22250974979996682,0.0009173837989495344,0.005022786596557125
utr_sg,2301,5501,6000,1.408256,0.20097726256400347,0.0010964984532223145,0.007347656468686182
utr_sg,2301,6001,6500,1.536256,0.22778124418854714,0.0011258756195954142,0.007914713757112623
utr_sg,2301,6501,7000,1.664256,0.23574517440795897,0.001135451517653261,0.00831640650384361
utr_sg,2301,7001,7500,1.792256,0.23978539901226759,0.0011837775279312456,0.00863802110310644
utr_sg,2301,7501,8000,1.920256,0.2355764760673046,0.001250086501495995,0.008995442967279815
utr_sg,2301,8001,8500,2.048256,0.23819940935075284,0.0013076254922301208,0.009891276353329885
utr_sg,2301,8501,9000,2.176256,0.23176207715272903,0.0014273260367390322,0.012194010716397315
utr_sg,2301,9001,9500,2.304256,0.22531994809955358,0.0013534352174213683,0.011257161771238316
utr_sg,2301,9501,10000,2.432256,0.23789816704392433,0.0016404400592631037,0.014742838994483464
utr_sg,2301,10001,10500,2.560256,0.2342119185179472,0.0013081870192684921,0.010473307555483188
utr_sg,2301,10501,11000,2.688256,0.21612965670973064,0.001387870934930409,0.01130143261543708
utr_sg,2301,11001,11500,2.816256,0.25481424655020235,0.0014708217321331171,0.012710286781482864
utr_sg,2301,11501,12000,2.944256,0.23827176584303378,0.0013263771985966737,0.010568359668075573
utr_sg,2301,12001,12500,3.072256,0.2789174353480339,0.0014278349825644898,0.011889323320414405
utr_sg,2301,12501,13000,3.200256,0.28552608923614026,0.0012398284746930881,0.010386068009887822
utr_sg,2301,13001,13500,3.328256,0.27597341787815094,0.0013254001396768814,0.010990885727922433
utr_sg,2301,13501,14000,3.456256,0.2584580309391022,0.001618798581364292,0.015003255628922489
utr_sg,2301,14001,14500,3.584256,0.2381645929515362,0.0012044264231553816,0.00910742211714387
utr_sg,2301,14501,15000,3.712256,0.26368896484375,0.0014803842713912055,0.01300325558835175
utr_sg,2301,15001,15500,3.840256,0.25439513482898474,0.0014827782907309466,0.01330468785314588
utr_sg,2301,15501,16000,3.968256,0.2722025769650936,0.0014527140083306054,0.01280468787526479
utr_sg,2301,16001,16500,4.096256,0.26115862748026847,0.001223416825697463,0.009727864870452322
utr_sg,2301,16501,17000,4.224256,0.2678474799245596,0.001616044596180774,0.015414062953961548
utr_sg,2301,17001,17500,4.352256,0.2709335191696882,0.001792069387983245,0.0178886723908945
utr_sg,2301,17501,18000,4.480256,0.27043292951583864,0.0015808208054343882,0.01435807331604883
utr_sg,2301,18001,18500,4.608256,0.2804978642463684,0.0013999088827607296,0.012208333695714828
utr_sg,2301,18501,19000,4.736256,0.27378967943787574,0.001393776363296939,0.0123613284805906
utr_sg,2301,19001,19500,4.864256,0.29308263850212096,0.0013615240332513442,0.012005208716669586
utr_sg,2301,19501,20000,4.992256,0.2951935965269804,0.0015356295398403267,0.014490885841543786
utr_sg,2301,20001,20500,5.120256,0.2770197068452835,0.0016144974263655333,0.015407552527321969
utr_sg,2301,20501,21000,5.248256,0.2884161458313465,0.0014927670609104062,0.013718750357453246
utr_sg,2301,21001,21500,5.376256,0.30316796055436135,0.0015608262348793353,0.01462825561570935
utr_sg,2301,21501,22000,5.504256,0.27113129261136054,0.0017878812467370124,0.01767122447642032
utr_sg,2301,22001,22500,5.632256,0.2724185296744108,0.0017455908879037423,0.01657617237814702
utr_sg,2301,22501,23000,5.760256,0.2608430372029543,0.001900013191246214,0.019108724525372964
utr_sg,2301,23001,23500,5.888256,0.2651840164810419,0.001648583848255837,0.01570117231243057
utr_sg,2301,23501,24000,6.016256,0.2813093663752079,0.0014910983743923953,0.013097656599828042
utr_sg,2301,24001,24500,6.144256,0.2831720914542675,0.0015576913989904493,0.013854818114894443
utr_sg,2301,24501,25000,6.272256,0.2691577505990863,0.0016900768621077654,0.015548177518649026
utr_sg,2301,25001,25500,6.400256,0.27208495628088714,0.0016171693512360404,0.01492968795291381
utr_sg,2301,25501,26000,6.528256,0.2694338671863079,0.0015962423802481345,0.01463020877953386
utr_sg,2301,26001,26500,6.656256,0.26268860247731207,0.001762285352325607,0.01709505257429555
utr_sg,2301,26501,27000,6.784256,0.2800775119960308,0.0014390961083972766,0.012550781595229637
utr_sg,2301,27001,27500,6.912256,0.29179702270030977,0.0017402594614553243,0.017040365026856307
utr_sg,2301,27501,28000,7.040256,0.3101285774409771,0.001693845756371953,0.015821615046530495
utr_sg,2301,28001,28500,7.168256,0.2880247464776039,0.001782599058565207,0.01626562543725595
utr_sg,2301,28501,29000,7.296256,0.26787962873280047,0.0015173614830443166,0.0137330733180861
utr_sg,2301,29001,29500,7.424256,0.2770610577613115,0.0013752888392060975,0.012121094112691935
utr_sg,2301,29501,30000,7.552256,0.24769956079125405,0.0015631894087400685,0.0142369796076091
utr_sg,2301,30001,30500,7.680256,0.2805847307145596,0.0014532013809245314,0.012875000393774826
utr_sg,2301,30501,31000,7.808256,0.28076156455278395,0.0013031579004888604,0.011108724264719058
utr_sg,2301,31001,31500,7.936256,0.2837575628310442,0.0013692097094726659,0.012038411788002122
utr_sg,2301,31501,32000,8.064256,0.26953943943977354,0.0013940544002816698,0.01190169305470772
utr_sg,2301,32001,32500,8.192256,0.2923303855359554,0.00156962762729896,0.01426562540885061
utr_sg,2301,32501,33000,8.320256,0.28725713112950324,0.001674420349792849,0.015821615040185862
utr_sg,2301,33001,33500,8.448256,0.28459846670925615,0.0016323476608695222,0.015460286901623476
utr_sg,2301,33501,34000,8.576256,0.2860357889533043,0.0017036758171310134,0.015791667126060928
utr_sg,2301,34001,34500,8.704256,0.29384628394246104,0.001863290100404503,0.018042318239342423
utr_sg,2301,34501,35000,8.832256,0.2953133360743523,0.0013585388188792672,0.011876953502651303
utr_sg,2301,35001,35500,8.960256,0.2767397545874119,0.001556393927660484,0.01389518268732354
utr_sg,2301,35501,36000,9.088256,0.2732422453165054,0.0020177239814923526,0.02019531307736179
utr_sg,2301,36001,36500,9.216256,0.30087338195741176,0.0017733477601623187,0.016496094211994206
utr_sg,2301,36501,37000,9.344256,0.25995556488633154,0.0013688247738070105,0.011520833691582084
utr_sg,2301,37001,37500,9.472256,0.27634375388920307,0.0015281327912991037,0.012925781601050403
utr_sg,2301,37501,38000,9.600256,0.31227600353956225,0.0020826398339213424,0.018450521380174906
utr_sg,2301,38001,38500,9.728256,0.3019220367372036,0.0015929466209290632,0.014487630640505813
utr_sg,2301,38501,39000,9.856256,0.2997794191241264,0.0014222326901599373,0.012302083716203924
utr_sg,2301,39001,39063,9.984256,0.29953873110195944,0.001124115086698169,0.008096685090715745
utr_sg,2302,1,500,0.000256,0.012481974668509793,0.000893022235647777,0.005402343897090759
utr_sg,2302,501,1000,0.128256,0.0683915081112209,0.0007137123190847963,0.0035384115611668677
utr_sg,2302,1001,1500,0.256256,0.08287868937617168,0.0006534322474510266,0.0032356771907070653
utr_sg,2302,1501,2000,0.384256,0.10985040220990777,0.0004800916724087376,0.001265625022992026
utr_sg,2302,2001,2500,0.512256,0.1179229323118925,0.0006353697848770327,0.0031725261162500826
utr_sg,2302,2501,3000,0.640256,0.09036372535582632,0.001106370171164599,0.007049479362671264
utr_sg,2302,3001,3500,0.768256,0.11907063468918204,0.0006278927969385677,0.002941406321246177
utr_sg,2302,3501,4000,0.896256,0.11504088504798711,0.0008508048833128516,0.004514323049166705
utr_sg,2302,4001,4500,1.024256,0.13875539077818394,0.0008062644757475632,0.004276041776116472
utr_sg,2302,4501,5000,1.152256,0.14381924095749854,0.0009829877656695012,0.006281901209848001
utr_sg,2302,5001,5500,1.280256,0.13610124126821757,0.0011974407844186317,0.007889974190329668
utr_sg,2302,5501,6000,1.408256,0.16344209457933903,0.0009703389438506442,0.0057252605978865174
utr_sg,2302,6001,6500,1.536256,0.1504027531221509,0.0010592787092239932,0.005938802252523601
utr_sg,2302,6501,7000,1.664256,0.12152537272125483,0.0015190382747496188,0.012602213917882181
utr_sg,2302,7001,7500,1.792256,0.1506312829181552,0.0010430334851210619,0.006749349140271079
utr_sg,2302,7501,8000,1.920256,0.15274652486108242,0.0009877705729350052,0.005465494948381092
utr_sg,2302,8001,8500,2.048256,0.16867634004354476,0.001183560729041043,0.007813802334072533
utr_sg,2302,8501,9000,2.176256,0.19255742610245943,0.0012297197818403821,0.009186198164941744
utr_sg,2302,9001,9500,2.304256,0.17827281264215708,0.0012097410619338307,0.008617838785808999
utr_sg,2302,9501,10000,2.432256,0.1941538618132472,0.0012038706748444378,0.008276692916580942
utr_sg,2302,10001,10500,2.560256,0.17406838031113148,0.0012723590835421413,0.009210937773576006
utr_sg,2302,10501,11000,2.688256,0.18500151723623276,0.0011384121339615373,0.007985026267590001
utr_sg,2302,11001,11500,2.816256,0.22069391801953317,0.0011052893449089718,0.007722005407675169
utr_sg,2302,11501,12000,2.944256,0.2194718519449234,0.0013295288423211468,0.010525390943337697
utr_sg,2302,12001,12500,3.072256,0.13781602707505225,0.001663805985375801,0.0156308598415344
utr_sg,2302,12501,13000,3.200256,0.1804586854800582,0.0012696986762780389,0.009949870074808131
utr_sg,2302,13001,13500,3.328256,0.18814198695123197,0.0012468672253650448,0.009802734662604052
utr_sg,2302,13501,14000,3.456256,0.19416794546693564,0.0012603626892037016,0.010060547188157215
utr_sg,2302,14001,14500,3.584256,0.20001340334862472,0.0014455418576056508,0.012255208685761318
utr_sg,2302,14501,15000,3.712256,0.20599893952161075,0.001169873970708673,0.00874348982574884
utr_sg,2302,15001,15500,3.840256,0.24212602999806404,0.0015845619402831876,0.014164062929339707
utr_sg,2302,15501,16000,3.968256,0.2179701918438077,0.0013558129208289134,0.011285807574400678
utr_sg,2302,16001,16500,4.096256,0.19247363448143007,0.001417678785465491,0.011957682621607091
utr_sg,2302,16501,17000,4.224256,0.22667117328941822,0.001413937750999137,0.01220507844502572
utr_sg,2302,17001,17500,4.352256,0.23968991642445325,0.0014259330086597375,0.012535807625157758
utr_sg,2302,17501,18000,4.480256,0.24364027312397957,0.0012608600976066822,0.010013672169006895
utr_sg,2302,18001,18500,4.608256,0.22353557365387677,0.0011953623156653772,0.00983138050098205
utr_sg,2302,18501,19000,4.736256,0.1907859957665205,0.0013528937254141016,0.01198632846144028
utr_sg,2302,19001,19500,4.864256,0.1953188993036747,0.0017831887772663275,0.017600260926119517
utr_sg,2302,19501,20000,4.992256,0.21930422714352607,0.0011800359867130824,0.009641927377437241
utr_sg,2302,20001,20500,5.120256,0.23271025428175926,0.0014930596989141374,0.013584635798237286
utr_sg,2302,20501,21000,5.248256,0.21782681861519815,0.0014805041616931048,0.013433594147732947
utr_sg,2302,21001,21500,5.376256,0.22748064963519574,0.001597543147289792,0.015078125444473699
utr_sg,2302,21501,22000,5.504256,0.2406448036581278,0.0017943835570437487,0.01727148488437524
utr_sg,2302,22001,22500,5.632256,0.21569137667119503,0.0014210706912457004,0.01205924513732316
utr_sg,2302,22501,23000,5.760256,0.23715992249548434,0.0014961359775616015,0.013384114959044381
utr_sg,2302,23001,23500,5.888256,0.23184812331199647,0.0013962133788694023,0.012378255578922108
utr_sg,2302,23501,24000,6.016256,0.24138587564229966,0.0016506308637044573,0.015480469194997567
