arm,seed,checkpoint_label,condition,J,collision,timeout,constraint_violation,failure_exposure,failure_exposure_all_scheduled,episode_length,risk_set_size,survival_to_onset_fraction,failure_trigger_success_rate_risk_set,pretrigger_collision_count,pretrigger_collision_rate,path_switch_count,direct_path_fraction,relay_path_fraction,task_support_fraction,legal_information_fraction,mean_cache_age,traveled_distance,control_effort
utr_sg,2301,10m,nominal,219.8795622163033,0.01,0.98,0.0,nan,nan,257.8,0,nan,nan,0,nan,1.91,0.0,0.0,0.0,0.0,nan,151815.96352478027,1211.86
utr_sg,2301,10m,f0_seen_44_80,199.3365168947773,0.01,0.99,0.0,0.99,0.99,257.8,99,0.99,1.0,1,0.01,1.97,0.067,0.0,0.8163750000000001,0.99,15.39436026936027,145901.38060760498,1149.14
utr_sg,2301,10m,timing_28_80,204.458438614239,0.01,0.98,0.0,1.0,1.0,257.8,100,1.0,1.0,0,0.0,2.54,0.10039423076923076,0.0,0.7880096153846153,1.0,14.741166666666665,145293.14097808837,1152.0
utr_sg,2301,10m,timing_36_80,200.15494511591737,0.01,0.97,0.0,1.0,1.0,257.8,100,1.0,1.0,0,0.0,2.16,0.07575,0.0,0.799625,1.0,14.813416666666667,145278.75794769288,1150.32
utr_sg,2301,10m,timing_52_80,199.68796153997536,0.01,0.98,0.0,0.99,0.99,257.8,99,0.99,1.0,1,0.01,2.24,0.045250000000000005,0.0,0.86625,0.99,16.231018518518518,146857.2931326294,1150.93
utr_sg,2301,10m,timing_60_80,200.00057069885546,0.01,0.97,0.0,0.99,0.99,257.8,99,0.99,1.0,1,0.01,2.06,0.018875,0.0,0.938875,0.99,16.770454545454545,147511.26027008056,1149.86
utr_sg,2301,10m,duration_44_40,204.92470805151387,0.01,0.98,0.0,0.99,0.99,257.8,99,0.99,1.0,1,0.01,1.9,0.11625,0.0,0.6502500000000001,0.99,10.01936026936027,148194.12537750244,1152.37
utr_sg,2301,10m,duration_44_60,202.0490846065525,0.01,0.99,0.0,0.99,0.99,257.8,99,0.99,1.0,1,0.01,1.95,0.0805,0.0,0.7633333333333333,0.99,12.491582491582493,146512.65290161132,1145.96
utr_sg,2301,10m,duration_44_100,196.10202545351814,0.01,0.99,0.0,0.99,0.99,257.8,99,0.99,1.0,1,0.01,2.0,0.061399999999999996,0.0,0.8442000000000001,0.99,18.524074074074072,145618.3200015259,1150.17
utr_sg,2301,10m,duration_44_120,194.0622047209181,0.01,0.99,0.0,0.99,0.99,257.8,99,0.99,1.0,1,0.01,2.2,0.06433333333333334,0.0,0.8594166666666666,0.99,22.10297418630752,145479.6969467163,1153.58
utr_sg,2301,10m,compound_28_120,197.39723916986026,0.01,0.98,0.0,1.0,1.0,257.8,100,1.0,1.0,0,0.0,2.56,0.06851923076923078,0.0,0.8564679487179486,1.0,20.988666666666667,144514.18709991456,1157.2
utr_sg,2301,10m,compound_60_120,196.32222164080014,0.01,0.97,0.0,0.99,0.99,257.8,99,0.99,1.0,1,0.01,2.45,0.04716666666666667,0.0,0.9301666666666667,0.99,24.553451178451176,147118.7671713257,1159.57
utr_sg,2302,10m,nominal,112.21160094225779,0.02,0.95,0.0,nan,nan,259.15,0,nan,nan,0,nan,2.17,0.0,0.0,0.0,0.0,nan,151688.71267364503,1439.62
utr_sg,2302,10m,f0_seen_44_80,76.51737102164887,0.0,0.99,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,4.25,0.51625,0.0,0.011625000000000002,0.525625,19.329458333333335,157683.26528930664,1469.42
