graph_encoder,train_seed,success,chain_closed,attack_window_formed,timeout,collision,steps,tracking_rate,comm_connectivity,constraint_violation
multi_relation,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3,0.03333333333333333,203.6,0.2879284302631723,0.582464789548152,0.0
multi_relation,1,0.0,0.0,0.0,1.0,0.0,260.0,0.19863248455218777,0.4011538480718931,0.0
multi_relation,2,0.2,0.2,0.2,0.8,0.0,248.0,0.181644631461126,0.38417469849751734,0.0
single,0,0.0,0.0,0.0,0.9666666666666667,0.03333333333333333,253.5,0.1182906018159328,0.36324786473543214,0.0
single,1,0.0,0.0,0.0,0.9666666666666667,0.03333333333333333,253.5,0.10525641339329568,0.3744017120355215,0.0
single,2,0.0,0.0,0.0,1.0,0.0,260.0,0.05841880515981939,0.28658119867627435,0.0
