graph_encoder,success_mean,success_std,chain_closed_mean,chain_closed_std,attack_window_formed_mean,attack_window_formed_std,timeout_mean,timeout_std,collision_mean,collision_std,steps_mean,steps_std,tracking_rate_mean,tracking_rate_std,comm_connectivity_mean,comm_connectivity_std,constraint_violation_mean,constraint_violation_std
multi_relation,0.2888888888888889,0.3421067626297923,0.2888888888888889,0.3421067626297923,0.2888888888888889,0.3421067626297923,0.7000000000000001,0.36055512754639896,0.011111111111111112,0.019245008972987525,237.20000000000002,29.710604167535866,0.222735182092162,0.05709436481366679,0.4559311120391875,0.10990974268928223,0.0,0.0
single,0.0,0.0,0.0,0.0,0.0,0.0,0.9777777777777779,0.01924500897298754,0.022222222222222223,0.019245008972987525,255.66666666666666,3.7527767497325715,0.09398860678968263,0.031486197102064704,0.3414102584824093,0.04780974196559707,0.0,0.0
