method,metric,unit,n_recovered_episodes,mean,note
no_graph,recovered_only_recovery_steps,steps,171,5.526315789,Conditional on episodes that recovered; use capped_recovery_steps for a comparable recovery-time proxy.
multi_relation,recovered_only_recovery_steps,steps,481,15.68191268,Conditional on episodes that recovered; use capped_recovery_steps for a comparable recovery-time proxy.
