update,loss,policy_loss,value_loss,entropy,train_avg_reward,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_steps,eval_avg_distance
1,0.43352564920981723,-0.009367113389695684,0.9294344782829285,2.182447632153829,0.015592384152114391,0.3,0.1,0.6,142.95,11.810820975899697
2,0.10046446618313591,-0.009089146895955006,0.2626467856268088,2.1769779125849404,-0.03268041834235191,,,,,
3,0.7743059148391088,-0.0080081921381255,1.6079765260219574,2.167415738105774,0.0422474630177021,,,,,
4,0.935487742225329,-0.004327348821486036,1.9229100942611694,2.163996438185374,0.06045161560177803,,,,,
5,0.12747173632184663,-0.004818790980304281,0.3074235680202643,2.1421257853507996,-0.040121618658304214,,,,,
6,1.5917129516601562,-0.0020859130891039968,3.2305043935775757,2.1453321973482766,-0.015791891142725945,,,,,
7,2.039044280846914,-0.004628814368819197,4.130359868208568,2.1506846944491067,0.05339663103222847,,,,,
8,1.180382415652275,-0.005290449441721042,2.4144481817881265,2.155123690764109,0.031092196702957153,,,,,
9,0.1864099738498529,-0.0069271300453692675,0.42977190266052884,2.1548845966657004,-0.017574133351445198,,,,,
10,0.1432778649032116,-0.012429047065476576,0.35442465047041577,2.150541345278422,-0.01956995390355587,0.25,0.0,0.75,169.3,14.597855233152705
11,0.1480867819239696,-0.008256782544776797,0.3551262840628624,2.121957699457804,-0.017430942505598068,,,,,
12,0.09634167980402708,-0.0060395167480843765,0.24694004406531653,2.1088828245798745,-0.022204095497727394,,,,,
13,0.029017768024156492,-0.008159847076361379,0.11635320074856281,2.09989861647288,-0.005661005154252052,,,,,
14,0.02994617788741986,-0.0050777601621424156,0.11138093781967957,2.0666531721750894,0.0006144959479570389,,,,,
15,0.4049738496541977,-0.0033416944788768888,0.8572401652733485,2.0304537415504456,0.003523764433339238,,,,,
16,0.03524731068561474,-0.00497204748292764,0.12085529727240403,2.0208291014035544,-0.013752274215221405,,,,,
17,1.3323939045270283,-0.0019110131543129683,2.7092582980791726,2.0324217875798545,0.05008973181247711,,,,,
18,1.2372258255879085,-0.005174589809030294,2.5258431434631348,2.0521151026089988,0.016940174624323845,,,,,
19,0.027824828245987494,-0.010554170934483409,0.1184610507140557,2.0851526061693826,-0.007999666035175323,,,,,
20,0.03595066179210941,-0.008639455152054628,0.13041060169537863,2.061518390973409,-0.018914178013801575,0.15,0.0,0.85,174.1,11.727916635076204
21,0.06082437994579474,-0.008087766744817296,0.17891827101508775,2.054698904355367,-0.01656045764684677,,,,,
