run,reference,seed,status,parameter_count,environment_steps,from_scratch,resume,canonical_seeds_used,missing_count,missing
R0_G_REF,G,2001,completed,116728,1000192,True,False,False,0,
R1_B_REF,B,2002,completed,116728,1000192,True,False,False,0,
