seed,update,guard_epoch,attempted_kl,attempted_update_l2,rollback_l2,train_avg_reward,value_loss,explained_variance,advantage_std,critic_update_norm,final_klr_minus_original
3101,72,3,0.021358227357268333,0.060180600732564926,0.06819513440132141,-0.05998758599162102,0.10611620297034581,0.8831974864006042,0.4608286917209625,,31.4468997857577
3101,84,4,0.02275480329990387,0.043797558173537254,0.04053276404738426,-0.021032342687249184,0.302316851913929,0.7829861789941788,0.7716097831726074,,31.4468997857577
3101,182,4,0.020124804228544235,0.03665160667151213,0.03643028438091278,-0.06800135970115662,0.5830104053020477,0.6408828794956207,1.078485131263733,,31.4468997857577
3101,253,3,0.02405600994825363,0.05581020067135493,0.049875419586896896,0.025716222822666168,0.39672137300173443,0.7856973807017008,0.8922231793403625,,31.4468997857577
3101,303,4,0.021019965410232544,0.04441430605947971,0.03954958915710449,-0.033606160432100296,0.4816289693117142,0.4541005939245224,0.98948073387146,,31.4468997857577
3101,637,4,0.024167757481336594,0.05732674989849329,0.04980490356683731,-0.04914416745305061,0.06177258770912886,0.9441128969192505,0.34062254428863525,,31.4468997857577
3101,638,4,0.022539546713232994,0.051756829023361206,0.0426415279507637,-0.013205782510340214,0.25023866817355156,0.7375177294015884,0.701415479183197,,31.4468997857577
3101,653,2,0.02742520347237587,0.057145655155181885,0.06632351875305176,-0.04451741650700569,0.03833398595452309,0.7995173037052155,0.2760656476020813,,31.4468997857577
3101,959,3,0.021812614053487778,0.040913241604963936,0.038294509053230286,0.03032376803457737,0.1384039670228958,0.9035787185033163,0.5180616974830627,,31.4468997857577
3101,1157,4,0.023197105154395103,0.03247310873121023,0.031165145337581635,0.09766783565282822,0.15490029007196426,0.9636304527521133,0.5532434582710266,,31.4468997857577
3101,1179,4,0.024683674797415733,0.03639261610805988,0.030733145773410797,0.08594363182783127,0.16926977038383484,0.9696411192417145,0.5880787372589111,,31.4468997857577
3101,1218,3,0.024725910276174545,0.03707767774661382,0.03463834896683693,0.06008204445242882,0.1987602561712265,0.8516949812571207,0.6263836622238159,,31.4468997857577
3101,1242,4,0.0210260059684515,0.029424777254462242,0.0318145826458931,0.07399104535579681,0.31023166328668594,0.901110827922821,0.7743555307388306,,31.4468997857577
3102,142,4,0.025257019326090813,0.043731831945478916,0.033362772315740585,-0.01779256947338581,0.2117244116961956,0.7981293499469757,0.5678389072418213,,57.093035251299156
3102,202,4,0.022353356704115868,0.0342661920003593,0.029154762625694275,0.03597206249833107,0.19964615255594254,0.828774482011795,0.6297212839126587,,57.093035251299156
3102,462,4,0.021596252918243408,0.045640578493475914,0.04020420089364052,-0.021225159987807274,0.059092555195093155,0.9092696309089661,0.3350640833377838,,57.093035251299156
3102,510,4,0.025329463183879852,0.04197633732110262,0.039727453142404556,-0.0277837086468935,0.06324921175837517,0.8685078769922256,0.34747427701950073,,57.093035251299156
3102,540,4,0.02514599822461605,0.04416938032954931,0.04059192165732384,-0.010621652007102966,0.011539218248799443,0.9030841439962387,0.14376120269298553,,57.093035251299156
3102,942,4,0.023996708914637566,0.02910841489210725,0.02380591630935669,0.07171791046857834,0.07704836316406727,0.9835810363292694,0.382026731967926,,57.093035251299156
3102,1043,4,0.023266013711690903,0.034272839315235615,0.03209894895553589,0.059917718172073364,0.36940740048885345,0.8217099905014038,0.8604135513305664,,57.093035251299156
3102,1499,3,0.020354673266410828,0.04629527653257052,0.04688910022377968,0.02289080061018467,0.11271877586841583,0.9313924709955851,0.46467864513397217,,57.093035251299156
3102,1540,4,0.024281393736600876,0.03246848890557885,0.024423813447356224,0.09873524308204651,0.7561953514814377,0.8927176296710968,1.2197232246398926,,57.093035251299156
3103,111,4,0.024485087022185326,0.037676798179745674,0.03620603680610657,0.02452210895717144,0.2694271057844162,0.8584511131048203,0.7317545413970947,,-18.78537056132103
3103,218,4,0.0204828642308712,0.03874936420470476,0.03929535299539566,-0.0517125278711319,0.13784675672650337,0.8425304144620895,0.5046025514602661,,-18.78537056132103
3103,313,4,0.020189786329865456,0.03463061572983861,0.027414420619606972,-0.005524780601263046,0.8297258764505386,0.6635339111089706,1.0746971368789673,,-18.78537056132103
3103,500,4,0.020488988608121872,0.02464358787983656,0.020216619595885277,0.06027277186512947,0.29709188640117645,0.838680773973465,0.7875105142593384,,-18.78537056132103
3103,559,4,0.020609814673662186,0.036460742354393005,0.03320663422346115,0.027454763650894165,0.06324052065610886,0.9697008430957794,0.3510409891605377,,-18.78537056132103
3103,563,4,0.0214982982724905,0.02666100626811385,0.022487454116344452,0.06490985304117203,0.17067104578018188,0.935947984457016,0.5729710459709167,,-18.78537056132103
