seed,condition,J_utr,J_original,J_klr,klr_minus_original,klr_minus_utr,klr_collision,klr_timeout
3101,nominal,10.571960691129789,39.97375809981488,109.23760511487723,69.26384701506234,98.66564442374744,0.0,0.96
3101,F0_44_80,3.356798738851212,20.51130516119767,31.01836582535412,10.507060664156452,27.66156708650291,0.0,1.0
3101,T28_28_80,9.124787478498183,0.4675777749455301,74.089873936777,73.62229616183147,64.96508645827882,0.0,1.0
3101,D120_44_120,-1.8282000404549763,19.512672769203782,31.234054943174122,11.72138217397034,33.062254983629096,0.0,1.0
3101,C28_120,2.970777836795896,-1.3979102132428671,28.538949929829688,29.936860143072554,25.56817209303379,0.0,1.0
3102,nominal,41.613818519786,21.465653465129435,68.59392466509249,47.12827119996305,26.980106145306486,0.02,0.98
3102,F0_44_80,32.21118002012372,17.257238630820066,72.0025403763121,54.74530174549203,39.79136035618838,0.03,0.97
3102,T28_28_80,45.36210330687463,9.587514011943712,68.07148203082848,58.48396801888477,22.709378723953847,0.03,0.97
3102,D120_44_120,32.017413117382674,17.52851673932746,72.1974241806427,54.66890744131524,40.180011063260025,0.01,0.99
3102,C28_120,40.66567577023525,9.26268784343265,69.73665164293722,60.47396379950457,29.070975872701972,0.0,1.0
3103,nominal,3.23787273268681,68.32824541605544,88.76666866860353,20.43842325254809,85.52879593591672,0.0,1.0
3103,F0_44_80,-1.107014430621639,48.76827050246764,26.73317907733377,-22.035091425133867,27.84019350795541,0.0,1.0
3103,T28_28_80,-4.401347110094503,47.960285950293766,35.04261295870878,-12.917672991584986,39.443960068803285,0.0,1.0
3103,D120_44_120,-1.19526089980267,42.33456053196453,24.212124711112118,-18.12243582085241,25.407385610914787,0.0,1.0
3103,C28_120,-4.372922371150926,38.79666610707994,16.730384099367075,-22.066282007712868,21.103306470518,0.0,1.0
