update,loss,policy_loss,value_loss,entropy,intent_loss,intent_acc,chain_aux_loss,chain_aux_acc,chain_aux_effective_coef,approx_kl,clip_fraction,grad_norm,explained_variance,ppo_epochs_ran,critic_warmup_active,train_avg_reward,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_steps,eval_avg_distance,eval_intent_acc
1,0.7678523361682892,2.6775524020195007e-08,1.5357046723365784,1.2704902589321136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6783735305070877,-0.025380611419677734,2,1.0,0.04715185984969139,0.6,0.2,0.2,125.0,8777.3158203125,nan
2,0.18141932412981987,1.8510036170482635e-08,0.36283864825963974,1.3424796909093857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4397653713822365,0.023245692253112793,2,1.0,0.02860877476632595,,,,,,
3,0.9180158004164696,1.3853423297405243e-08,1.8360316008329391,1.2448493391275406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9802100285887718,-0.017514824867248535,2,1.0,0.06238575279712677,,,,,,
4,0.7364755272865295,7.233393262140453e-08,1.472951054573059,1.3257548362016678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2332937568426132,-0.005741707980632782,2,1.0,0.08156248182058334,,,,,,
5,0.6690186113119125,2.34867911785841e-08,1.338037222623825,1.2849386185407639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9651096984744072,-0.005469530820846558,2,1.0,0.06309888511896133,,,,,,
6,0.5237798616290092,-2.4563632905483246e-08,1.0475597232580185,1.2984876781702042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8360400348901749,0.010449282824993134,2,1.0,0.06298226863145828,,,,,,
7,0.6170655190944672,8.847564458847046e-09,1.2341310381889343,1.2251012176275253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0635635554790497,-0.011471264064311981,2,1.0,0.0711279958486557,,,,,,
8,0.4256463125348091,-1.0099029168486595e-08,0.8512926250696182,1.2744287848472595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6111511029303074,0.01805417239665985,2,1.0,0.04590515419840813,,,,,,
9,0.6630344912409782,-1.3140379451215267e-08,1.3260689824819565,1.3171397298574448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.030641920864582,-0.0031524375081062317,2,1.0,0.06983821839094162,,,,,,
10,0.4865094721317291,6.2282197177410126e-09,0.9730189442634583,1.2966287285089493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6237956061959267,0.027103886008262634,2,1.0,0.04318147897720337,,,,,,
11,0.6379729881882668,3.663171810330823e-08,1.2759459763765335,1.3266765922307968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2178464904427528,-0.00820440798997879,2,1.0,0.07587254792451859,,,,,,
12,0.5679071545600891,-2.9685907065868378e-08,1.1358143091201782,1.2116137444972992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6875883564352989,0.03299085795879364,2,1.0,0.04689883813261986,,,,,,
13,0.5747375041246414,2.553133526816964e-08,1.1494750082492828,1.2792101949453354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2370175272226334,0.03204411268234253,2,1.0,0.06957584619522095,,,,,,
14,0.41659896820783615,1.2412783689796925e-08,0.8331979364156723,1.2500334531068802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5357251428067684,0.06715497374534607,2,1.0,0.04273829981684685,,,,,,
15,0.43446100875735283,3.550667315721512e-09,0.8689220175147057,1.3182775229215622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4139109216630459,0.03476522117853165,2,1.0,0.039525385946035385,,,,,,
16,0.5901530459523201,1.3737007975578308e-08,1.1803060919046402,1.3064524680376053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.813523031771183,0.07402877509593964,2,1.0,0.05861175060272217,,,,,,
17,0.43755292892456055,1.1896190699189901e-08,0.8751058578491211,1.3324494808912277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8323393315076828,0.05809009075164795,2,1.0,0.057887207716703415,,,,,,
18,0.5472296550869942,-6.606569513678551e-09,1.0944593101739883,1.2912722378969193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5092790983617306,0.09756883233785629,2,1.0,0.04362127184867859,,,,,,
19,0.6751061752438545,-5.145557224750519e-08,1.350212350487709,1.3554249107837677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2760508358478546,0.09412410855293274,2,1.0,0.07134554535150528,,,,,,
20,0.33537721261382103,1.6618287190794945e-08,0.6707544252276421,1.2120340168476105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2994298115372658,0.1042286679148674,2,1.0,0.03273900970816612,,,,,,
21,0.5649846866726875,-2.9735536372754723e-05,1.138017788529396,1.331489384174347,0.0,0.0,0.0,0.0,0.0,0.0005348131053324323,0.018391926743788645,2.085853099822998,0.09489341080188751,2,0.0,0.0732884481549263,,,,,,
22,0.3808724284172058,0.00016609375597909093,0.7690618932247162,1.2748702764511108,0.0,0.0,0.0,0.0,0.0,0.0005042310258431826,0.02246093758731149,2.1734134554862976,0.11491981893777847,2,0.0,0.043973296880722046,,,,,,
23,0.5058735944330692,-0.0003494039992801845,1.020026572048664,1.263431504368782,0.0,0.0,0.0,0.0,0.0,0.00040303753939952003,0.01790364587213844,1.7550788223743439,0.11455775797367096,2,0.0,0.062217339873313904,,,,,,
24,0.48872796073555946,0.00030650239204987884,0.9840462580323219,1.2005563825368881,0.0,0.0,0.0,0.0,0.0,0.00040923424489847093,0.01806640625,2.186653792858124,0.11983691900968552,2,0.0,0.05330613628029823,,,,,,
25,0.6181692332029343,-0.0006346853915601969,1.2453139126300812,1.2843504399061203,0.0,0.0,0.0,0.0,0.0,0.0004775805722374571,0.020507812485448085,2.4037429690361023,0.13240166008472443,2,0.0,0.0821421891450882,,,,,,
26,0.2854654788970947,-0.00023824907839298248,0.5792647376656532,1.3095483481884003,0.0,0.0,0.0,0.0,0.0,0.0005179624122320092,0.025878906293655746,2.687693104147911,0.14201004058122635,2,0.0,0.027902910485863686,,,,,,
27,0.643663078546524,-0.0005495853256434202,1.2966099232435226,1.3640992194414139,0.0,0.0,0.0,0.0,0.0,0.0004978501310688443,0.019042968400754035,1.87507826089859,0.12236057221889496,2,0.0,0.08104892820119858,,,,,,
28,0.4008064493536949,-0.0007493576704291627,0.8105302527546883,1.2364403009414673,0.0,0.0,0.0,0.0,0.0,0.0005058859817381745,0.01774088565434795,1.6232921034097672,0.14740440994501114,2,0.0,0.04517856240272522,,,,,,
29,0.6281716600060463,5.234242416918278e-05,1.264235407114029,1.3328006565570831,0.0,0.0,0.0,0.0,0.0,0.00037809353443662985,0.01920572924427688,2.1473750174045563,0.13327574729919434,2,0.0,0.07095939666032791,,,,,,
30,0.37492865696549416,-0.0004940902217640541,0.7586613446474075,1.3026428073644638,0.0,0.0,0.0,0.0,0.0,0.00014358217504195636,0.004394531337311491,1.3793611377477646,0.13516543805599213,2,0.0,0.04185360670089722,,,,,,
31,0.38612622022628784,-0.0004929930728394538,0.7812797874212265,1.340225264430046,0.0,0.0,0.0,0.0,0.0,0.0007044842296863862,0.0275065103196539,1.9165717214345932,0.135353222489357,2,0.0,0.03747954219579697,,,,,,
32,0.3742011561989784,-0.0001054228050634265,0.756194718182087,1.263595312833786,0.0,0.0,0.0,0.0,0.0,0.00025597928561182925,0.01074218777648639,1.9753057584166527,0.17959317564964294,2,0.0,0.046990782022476196,,,,,,
33,0.626608245074749,-0.00018523377366364002,1.2611946910619736,1.267951101064682,0.0,0.0,0.0,0.0,0.0,0.00036990554008298204,0.020019531017169356,2.2256028950214386,0.16033539175987244,2,0.0,0.07238349318504333,,,,,,
34,0.24927089735865593,-0.0006270083649724256,0.5073610953986645,1.2608784288167953,0.0,0.0,0.0,0.0,0.0,0.0006592090073809231,0.029296875465661287,2.0528294071555138,0.19326961785554886,2,0.0,0.04168577864766121,,,,,,
35,0.6134695708751678,-0.00028167161508463323,1.2351572066545486,1.2757820934057236,0.0,0.0,0.0,0.0,0.0,0.00025410846228623996,0.01009114587213844,2.1435183212161064,0.16933275014162064,2,0.0,0.06660164147615433,,,,,,
36,0.5058693289756775,-0.0006883688911329955,1.0204067081212997,1.2152171432971954,0.0,0.0,0.0,0.0,0.0,0.0003609796231103246,0.016764322732342407,1.4920847192406654,0.15670281648635864,2,0.0,0.052008528262376785,,,,,,
37,0.5678399503231049,-0.000418858602643013,1.1445220783352852,1.334082469344139,0.0,0.0,0.0,0.0,0.0,0.00026936654705878027,0.009765625116415322,1.7826016396284103,0.1926533430814743,2,0.0,0.07575860619544983,,,,,,
38,0.40377308800816536,-0.0005498580285347998,0.8161844089627266,1.256420150399208,0.0,0.0,0.0,0.0,0.0,0.0003611081378949166,0.016113281060825102,2.123291961848736,0.20395875722169876,2,0.0,0.03582071140408516,,,,,,
39,0.520124725997448,-0.0005861077224835753,1.0494531989097595,1.3385877460241318,0.0,0.0,0.0,0.0,0.0,0.00026113193007404334,0.010904948037932627,1.9043492525815964,0.16163872182369232,2,0.0,0.08047252148389816,,,,,,
40,0.4300173968076706,-0.0002149775973521173,0.8677133470773697,1.2081000953912735,0.0,0.0,0.0,0.0,0.0,0.0001456896791296458,0.00569661459303461,1.5060884729027748,0.2371078059077263,2,0.0,0.04977719858288765,,,,,,
41,0.742457278072834,4.42969030700624e-06,1.4919630140066147,1.176219180226326,0.0,0.0,0.0,0.0,0.0,0.0002548218219544651,0.010091145886690356,1.6592695116996765,0.21615242213010788,2,0.0,0.05281491577625275,,,,,,
42,0.36315177753567696,-0.00012865732423961163,0.7344135642051697,1.308781921863556,0.0,0.0,0.0,0.0,0.0,0.00014392592038348084,0.0068359375,2.1823646426200867,0.20686673372983932,2,0.0,0.06889442354440689,,,,,,
43,0.6837015748023987,-3.691448364406824e-05,1.3746507465839386,1.1956255435943604,0.0,0.0,0.0,0.0,0.0,0.00022674332012684317,0.008138020959449932,2.4137819707393646,0.23097316175699234,2,0.0,0.060761526226997375,,,,,,
44,0.3831108324229717,-0.0007043755031190813,0.7753666937351227,1.2893806993961334,0.0,0.0,0.0,0.0,0.0,0.00021192973895267642,0.007975260319653898,2.2934909611940384,0.22646021097898483,2,0.0,0.07385945320129395,,,,,,
45,0.5506318397819996,-0.0005267120723146945,1.1093981266021729,1.1801716983318329,0.0,0.0,0.0,0.0,0.0,0.00047131576775427675,0.0208333334303461,2.224857062101364,0.2557973116636276,2,0.0,0.04768119379878044,,,,,,
46,0.30838633328676224,-0.0010347578208893538,0.6266034990549088,1.293554648756981,0.0,0.0,0.0,0.0,0.0,0.0005646251083817333,0.020182291787932627,1.603140451014042,0.2403053417801857,2,0.0,0.06348902732133865,,,,,,
47,0.6232639700174332,-0.0006933582480996847,1.2550634741783142,1.1914732158184052,0.0,0.0,0.0,0.0,0.0,0.0005433257665572455,0.022786458779592067,1.7960708290338516,0.27815277874469757,2,0.0,0.06870421022176743,,,,,,
