layer,relation,receiver_role,receiver_role_name,sender_role,sender_role_name,gate_mean,gate_std,gate_min,gate_max,gate_abs_delta_from_0_5
layer1,task_support,1,relay,3,interceptor,0.5986876487731934,0.0,0.5986876487731934,0.5986876487731934,0.09868764877319336
layer1,task_support,1,relay,4,target,0.5,0.0,0.5,0.5,0.0
layer1,task_support,2,attacker,0,scout,0.5986876487731934,0.0,0.5986876487731934,0.5986876487731934,0.09868764877319336
layer1,task_support,2,attacker,1,relay,0.5986876487731934,0.0,0.5986876487731934,0.5986876487731934,0.09868764877319336
layer1,task_support,2,attacker,2,attacker,0.5000441074371338,0.0001583892444614321,0.49972936511039734,0.5002217292785645,4.410743713378906e-05
layer1,task_support,2,attacker,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer1,task_support,2,attacker,4,target,0.5,0.0,0.5,0.5,0.0
layer1,task_support,3,interceptor,0,scout,0.5986876487731934,0.0,0.5986876487731934,0.5986876487731934,0.09868764877319336
layer1,task_support,3,interceptor,1,relay,0.5986876487731934,0.0,0.5986876487731934,0.5986876487731934,0.09868764877319336
layer1,task_support,3,interceptor,2,attacker,0.5,0.0,0.5,0.5,0.0
layer1,task_support,3,interceptor,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer1,task_support,3,interceptor,4,target,0.5,0.0,0.5,0.5,0.0
layer1,task_support,4,target,0,scout,0.5,0.0,0.5,0.5,0.0
layer1,task_support,4,target,1,relay,0.5,0.0,0.5,0.5,0.0
layer1,task_support,4,target,2,attacker,0.5,0.0,0.5,0.5,0.0
layer1,task_support,4,target,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer1,task_support,4,target,4,target,0.5,0.0,0.5,0.5,0.0
layer2,perception,0,scout,0,scout,0.4999620020389557,0.00017240096349269152,0.49971887469291687,0.5002704858779907,3.7997961044311523e-05
layer2,perception,0,scout,1,relay,0.5,0.0,0.5,0.5,0.0
layer2,perception,0,scout,2,attacker,0.5,0.0,0.5,0.5,0.0
layer2,perception,0,scout,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer2,perception,0,scout,4,target,0.5986876487731934,0.0,0.5986876487731934,0.5986876487731934,0.09868764877319336
layer2,perception,1,relay,0,scout,0.5,0.0,0.5,0.5,0.0
layer2,perception,1,relay,1,relay,0.49999678134918213,0.00016242609126493335,0.49974513053894043,0.500280499458313,3.2186508178710938e-06
layer2,perception,1,relay,2,attacker,0.5,0.0,0.5,0.5,0.0
layer2,perception,1,relay,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer2,perception,1,relay,4,target,0.5986876487731934,0.0,0.5986876487731934,0.5986876487731934,0.09868764877319336
layer2,perception,2,attacker,0,scout,0.5,0.0,0.5,0.5,0.0
layer2,perception,2,attacker,1,relay,0.5,0.0,0.5,0.5,0.0
layer2,perception,2,attacker,2,attacker,0.5000200867652893,0.00017062673578038812,0.49974483251571655,0.5002633929252625,2.008676528930664e-05
layer2,perception,2,attacker,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer2,perception,2,attacker,4,target,0.5986876487731934,0.0,0.5986876487731934,0.5986876487731934,0.09868764877319336
