method,episodes,radius,target_speed,success_mean,success_std,collision_mean,collision_std,timeout_mean,timeout_std,avg_steps_mean,avg_steps_std,n
MAPPO,100,4.0,0.6,0.75,0.24913182588073057,0.17,0.14352700094407322,0.08,0.1061445555206044,68.92,42.21833093179628,3
MAPPO,100,4.0,0.75,0.69,0.21213203435596423,0.24,0.13490737563232041,0.07333333333333333,0.08339997335464536,85.39666666666666,30.276107558417888,3
MAPPO,100,4.0,0.9,0.6633333333333333,0.10208928554075702,0.24,0.029439202887759506,0.09999999999999999,0.07788880963698615,98.44333333333333,20.625656083841044,3
MAPPO,100,8.0,0.6,0.8799999999999999,0.12192894105447921,0.11,0.10801234497346436,0.01,0.01414213562373095,50.54,23.340661230279377,3
MAPPO,100,8.0,0.75,0.7999999999999999,0.16673332000533067,0.18000000000000002,0.15121728296285006,0.023333333333333334,0.020548046676563257,62.21333333333333,24.5897408598699,3
MAPPO,100,8.0,0.9,0.65,0.08524474568362951,0.30000000000000004,0.0725718035235908,0.06,0.029439202887759496,86.90333333333335,20.218818516971318,3
GAT-MAPPO,100,4.0,0.6,0.9366666666666666,0.012472191289246433,0.04666666666666667,0.012472191289246471,0.02,0.00816496580927726,53.96666666666666,12.359982020842729,3
GAT-MAPPO,100,4.0,0.75,0.84,0.0374165738677394,0.12666666666666668,0.012472191289246476,0.04,0.042426406871192854,70.20666666666666,14.320205616152615,3
GAT-MAPPO,100,4.0,0.9,0.67,0.03741657386773941,0.2366666666666667,0.055577773335110214,0.09333333333333334,0.053124591501697425,88.77666666666669,9.572357192573952,3
GAT-MAPPO,100,8.0,0.6,0.8966666666666666,0.053124591501697425,0.056666666666666664,0.016996731711975948,0.04666666666666667,0.03681787005729087,56.693333333333335,16.126047941830706,3
GAT-MAPPO,100,8.0,0.75,0.7766666666666667,0.05185449728701348,0.18333333333333335,0.040276819911981905,0.043333333333333335,0.04784233364802441,67.52,15.510553396531881,3
GAT-MAPPO,100,8.0,0.9,0.73,0.05099019513592784,0.20333333333333337,0.012472191289246471,0.07333333333333335,0.05312459150169743,85.21999999999998,18.18511662504991,3
EA-RG-MAPPO-S,100,4.0,0.6,0.94,0.024494897427831758,0.02666666666666667,0.012472191289246473,0.03333333333333333,0.023570226039551584,61.53666666666667,2.6475439352140837,3
EA-RG-MAPPO-S,100,4.0,0.75,0.9066666666666667,0.009428090415820642,0.06666666666666667,0.009428090415820635,0.02666666666666667,0.009428090415820633,69.46666666666665,1.8743947171168518,3
EA-RG-MAPPO-S,100,4.0,0.9,0.8666666666666667,0.026246692913372727,0.09666666666666668,0.02054804667656325,0.03666666666666667,0.012472191289246473,76.03333333333335,2.8980146460790883,3
EA-RG-MAPPO-S,100,8.0,0.6,0.9333333333333335,0.004714045207910268,0.04666666666666666,0.018856180831641266,0.02,0.02160246899469287,54.626666666666665,1.9245143687578838,3
EA-RG-MAPPO-S,100,8.0,0.75,0.8833333333333333,0.04189935029992177,0.08333333333333333,0.024944382578492942,0.03333333333333333,0.026246692913372706,65.21,6.287023673143493,3
EA-RG-MAPPO-S,100,8.0,0.9,0.8366666666666668,0.04027681991198189,0.13,0.03265986323710905,0.036666666666666674,0.018856180831641266,81.41333333333333,5.9124858468235555,3
