scenario,n,single_success,multi_success,delta_success,lo_success,hi_success,single_post_failure_chain_recovered,multi_post_failure_chain_recovered,delta_post_failure_chain_recovered,lo_post_failure_chain_recovered,hi_post_failure_chain_recovered,single_post_failure_chain_recovery_steps,multi_post_failure_chain_recovery_steps,delta_post_failure_chain_recovery_steps,lo_post_failure_chain_recovery_steps,hi_post_failure_chain_recovery_steps,single_steps,multi_steps,delta_steps,lo_steps,hi_steps,single_timeout,multi_timeout,delta_timeout,lo_timeout,hi_timeout,single_tracking_during_failure_rate,multi_tracking_during_failure_rate,delta_tracking_during_failure_rate,lo_tracking_during_failure_rate,hi_tracking_during_failure_rate,single_connectivity_during_failure,multi_connectivity_during_failure,delta_connectivity_during_failure,lo_connectivity_during_failure,hi_connectivity_during_failure
relay_failure,90,0,0.24444444444444444,0.24444444444444444,0.15555555555555556,0.3333333333333333,0,0.24444444444444444,0.24444444444444444,0.15555555555555556,0.3333333333333333,220,175,-45,-60.34444444444444,-30.254722222222235,260,215,-45,-60.34444444444444,-30.254722222222235,1,0.7222222222222222,-0.2777777777777778,-0.36666666666666664,-0.18888888888888888,0.22208333995193247,0.33854276472036876,0.11645942476843628,0.0746642523107895,0.15809914437918915,0.11425926229192154,0.14679447926829195,0.032535216976370435,0.008609282765531454,0.056665279317800694
scout_failure,90,0,0.14444444444444443,0.14444444444444443,0.07777777777777778,0.2222222222222222,0,0.14444444444444443,0.14444444444444443,0.07777777777777778,0.2222222222222222,220,193.51111111111112,-26.488888888888887,-39.855555555555554,-14.877777777777778,260,233.51111111111112,-26.488888888888887,-39.855555555555554,-14.877777777777778,1,0.8444444444444444,-0.15555555555555556,-0.23333333333333334,-0.08888888888888889,0.22736111788700017,0.32343768678227064,0.09607656889527018,0.05953319440758909,0.1325294763465448,0.21569445050011074,0.2267538773758178,0.011059426875706916,-0.016632497952071598,0.03776754250667621
