scenario,n_paired_episodes,full_success_mean,no_task_support_success_mean,delta_success_mean,delta_success_ci_low,delta_success_ci_high,delta_success_p_bootstrap,full_post_failure_chain_recovered_mean,no_task_support_post_failure_chain_recovered_mean,delta_post_failure_chain_recovered_mean,delta_post_failure_chain_recovered_ci_low,delta_post_failure_chain_recovered_ci_high,delta_post_failure_chain_recovered_p_bootstrap,full_post_failure_chain_recovery_steps_mean,no_task_support_post_failure_chain_recovery_steps_mean,delta_post_failure_chain_recovery_steps_mean,delta_post_failure_chain_recovery_steps_ci_low,delta_post_failure_chain_recovery_steps_ci_high,delta_post_failure_chain_recovery_steps_p_bootstrap,full_chain_closed_during_failure_rate_mean,no_task_support_chain_closed_during_failure_rate_mean,delta_chain_closed_during_failure_rate_mean,delta_chain_closed_during_failure_rate_ci_low,delta_chain_closed_during_failure_rate_ci_high,delta_chain_closed_during_failure_rate_p_bootstrap,full_tracking_during_failure_rate_mean,no_task_support_tracking_during_failure_rate_mean,delta_tracking_during_failure_rate_mean,delta_tracking_during_failure_rate_ci_low,delta_tracking_during_failure_rate_ci_high,delta_tracking_during_failure_rate_p_bootstrap,full_connectivity_during_failure_mean,no_task_support_connectivity_during_failure_mean,delta_connectivity_during_failure_mean,delta_connectivity_during_failure_ci_low,delta_connectivity_during_failure_ci_high,delta_connectivity_during_failure_p_bootstrap,full_steps_mean,no_task_support_steps_mean,delta_steps_mean,delta_steps_ci_low,delta_steps_ci_high,delta_steps_p_bootstrap,full_timeout_mean,no_task_support_timeout_mean,delta_timeout_mean,delta_timeout_ci_low,delta_timeout_ci_high,delta_timeout_p_bootstrap
relay_failure,90,1,0.888889,0.111111,0.0555556,0.177778,0,1,0.888889,0.111111,0.0555556,0.177778,0,5.64444,29.1667,-23.5222,-37.6889,-11.6333,0,0.157011,0.145115,0.0118963,0.00438752,0.0201063,0.001,0.999663,0.904795,0.0948683,0.0467926,0.151111,0,0.438007,0.429613,0.00839386,0.00300758,0.0149781,0.0012,45.6444,69.1667,-23.5222,-37.7222,-11.6222,0,0,0.111111,-0.111111,-0.177778,-0.0555556,0
scout_failure,90,0.966667,0.877778,0.0888889,0.0333333,0.155556,0.001,0.966667,0.877778,0.0888889,0.0333333,0.155556,0.0006,12.6889,31.5111,-18.8222,-32.8892,-7.02222,0.0002,0.153387,0.144004,0.00938312,0.00256593,0.0172271,0.0032,0.9717,0.895813,0.0758868,0.02922,0.131237,0,0.435869,0.428734,0.00713504,0.00190326,0.01318,0.0048,52.6889,71.5111,-18.8222,-32.8889,-7.05556,0.001,0.0333333,0.122222,-0.0888889,-0.155556,-0.0333333,0.0002
