scenario,n,full_success,ablated_success,delta_success,lo_success,hi_success,full_recovery,ablated_recovery,delta_recovery,lo_recovery,hi_recovery,delta_recovery_steps,lo_recovery_steps,hi_recovery_steps,delta_steps,lo_steps,hi_steps
relay_failure,90,1,0.9777777778,0.0222222222,0,0.0555555556,1,0.9777777778,0.0222222222,0,0.0555555556,-4.8555555556,-11.9444444444,-0.1,-4.8555555556,-11.9444444444,-0.1
scout_failure,90,0.9666666667,0.9777777778,-0.0111111111,-0.0666666667,0.0333333333,0.9666666667,0.9777777778,-0.0111111111,-0.0666666667,0.0333333333,2.2222222222,-7.2444444444,13.8558333333,2.2222222222,-7.2444444444,13.8558333333
