source,target,attention
uav0,uav0,0.46677181124687195
uav0,uav1,0.06051216647028923
uav0,uav2,0.0
uav0,target,0.4727160334587097
uav1,uav0,0.07479473948478699
uav1,uav1,0.39063698053359985
uav1,uav2,0.06266123801469803
uav1,target,0.47190698981285095
uav2,uav0,0.0
uav2,uav1,0.04443163052201271
uav2,uav2,0.4937911331653595
uav2,target,0.4617772102355957
target,uav0,0.0
target,uav1,0.1261873096227646
target,uav2,0.28311625123023987
target,target,0.5906964540481567
