radius,ablation,episodes,n,zero_dims,zero_dim_names,success_mean,success_std,collision_mean,collision_std,timeout_mean,timeout_std,avg_steps_mean,avg_steps_std
4.0,none,30,3,,,0.8777777777777778,0.0415739709641549,0.07777777777777778,0.041573970964154904,0.044444444444444446,0.041573970964154904,66.43333333333332,8.831802802414733
4.0,zero_rel_pos,30,3,0 1,rel_x/world; rel_y/world,0.8777777777777778,0.0415739709641549,0.07777777777777778,0.041573970964154904,0.044444444444444446,0.041573970964154904,66.65555555555555,9.137401094700403
4.0,zero_distance,30,3,2 3,distance/world; distance/comm_radius,0.8777777777777778,0.0415739709641549,0.07777777777777778,0.041573970964154904,0.044444444444444446,0.041573970964154904,65.92222222222222,8.150725181703423
4.0,zero_bearing,30,3,4 5,cos(bearing); sin(bearing),0.8777777777777778,0.0415739709641549,0.07777777777777778,0.041573970964154904,0.044444444444444446,0.041573970964154904,66.14444444444445,8.50735339153106
4.0,zero_rel_velocity,30,3,6 7,rel_vx/1.5; rel_vy/1.5,0.8777777777777778,0.0415739709641549,0.07777777777777778,0.041573970964154904,0.044444444444444446,0.041573970964154904,66.08888888888889,8.464362474443393
4.0,zero_comm_target_flags,30,3,8 9,comm_reachable; target_node_flag,0.8666666666666667,0.04714045207910316,0.08888888888888889,0.056655772373253165,0.044444444444444446,0.041573970964154904,67.67777777777779,8.90028436222097
4.0,zero_all_edge_features,30,3,0 1 2 3 4 5 6 7 8 9,rel_x/world; rel_y/world; distance/world; distance/comm_radius; cos(bearing); sin(bearing); rel_vx/1.5; rel_vy/1.5; comm_reachable; target_node_flag,0.8777777777777778,0.06285393610547088,0.08888888888888889,0.056655772373253165,0.03333333333333333,0.047140452079103175,66.66666666666667,9.038969131652294
8.0,none,30,3,,,0.8666666666666667,0.02721655269759086,0.08888888888888889,0.03142696805273545,0.044444444444444446,0.041573970964154904,69.33333333333333,11.885222695369174
8.0,zero_rel_pos,30,3,0 1,rel_x/world; rel_y/world,0.8666666666666667,0.02721655269759086,0.08888888888888889,0.03142696805273545,0.044444444444444446,0.041573970964154904,69.31111111111112,11.900337167129257
8.0,zero_distance,30,3,2 3,distance/world; distance/comm_radius,0.8666666666666667,0.02721655269759086,0.08888888888888889,0.03142696805273545,0.044444444444444446,0.041573970964154904,69.33333333333333,11.885222695369174
8.0,zero_bearing,30,3,4 5,cos(bearing); sin(bearing),0.8777777777777778,0.0415739709641549,0.08888888888888889,0.041573970964154904,0.03333333333333333,0.02721655269759087,69.34444444444445,10.897037767153304
8.0,zero_rel_velocity,30,3,6 7,rel_vx/1.5; rel_vy/1.5,0.8777777777777778,0.03142696805273544,0.0888888888888889,0.015713484026367727,0.03333333333333333,0.02721655269759087,68.7,11.636246053698859
8.0,zero_comm_target_flags,30,3,8 9,comm_reachable; target_node_flag,0.8555555555555556,0.05665577237325315,0.09999999999999999,0.07200822998230956,0.044444444444444446,0.041573970964154904,69.11111111111111,11.632659430762113
8.0,zero_all_edge_features,30,3,0 1 2 3 4 5 6 7 8 9,rel_x/world; rel_y/world; distance/world; distance/comm_radius; cos(bearing); sin(bearing); rel_vx/1.5; rel_vy/1.5; comm_reachable; target_node_flag,0.8666666666666667,0.07200822998230953,0.08888888888888889,0.06849348892187751,0.044444444444444446,0.015713484026367724,70.45555555555556,10.54669803806731
