method,episodes,radius,comm_dropout_prob,success_mean,success_std,collision_mean,collision_std,timeout_mean,timeout_std,avg_steps_mean,avg_steps_std,n
MAPPO,50,4.0,0.0,0.6733333333333333,0.13888444437333108,0.26666666666666666,0.08993825042154695,0.07333333333333333,0.0771722460186015,87.15333333333335,29.84687290525127,3
MAPPO,50,4.0,0.25,0.5933333333333334,0.17461067804945063,0.32,0.09797958971132711,0.08666666666666667,0.08055363982396382,86.15333333333332,31.465237255669233,3
MAPPO,50,4.0,0.5,0.6133333333333334,0.19754043186705406,0.3,0.10198039027185568,0.08666666666666667,0.09568466729604883,90.36666666666667,32.57606619726957,3
MAPPO,50,8.0,0.0,0.8333333333333334,0.1111555466702204,0.16666666666666666,0.11115554667022046,0.0,0.0,65.77333333333333,25.661802136422313,3
MAPPO,50,8.0,0.25,0.7799999999999999,0.08640987597877145,0.20666666666666667,0.08055363982396381,0.013333333333333334,0.009428090415820633,68.46,28.148994061363304,3
MAPPO,50,8.0,0.5,0.7000000000000001,0.19866219234335117,0.2933333333333334,0.17461067804945063,0.02,0.0282842712474619,73.46666666666667,30.586081075475416,3
GAT-MAPPO,50,4.0,0.0,0.7666666666666666,0.033993463423951924,0.18666666666666668,0.0410960933531265,0.04666666666666667,0.024944382578492942,68.30000000000001,9.260943076526637,3
GAT-MAPPO,50,4.0,0.25,0.8133333333333334,0.024944382578492918,0.14,0.0,0.04666666666666667,0.024944382578492942,68.76666666666667,12.600881803358934,3
GAT-MAPPO,50,4.0,0.5,0.8066666666666666,0.033993463423951875,0.16666666666666666,0.024944382578492942,0.03333333333333333,0.018856180831641266,69.49333333333334,12.177381583173876,3
GAT-MAPPO,50,8.0,0.0,0.84,0.043204937989385725,0.12,0.0,0.04,0.04320493798938574,72.36666666666667,21.736220667100547,3
GAT-MAPPO,50,8.0,0.25,0.8133333333333334,0.08379870059984358,0.15333333333333335,0.057348835113617505,0.03333333333333333,0.033993463423951896,68.24666666666667,21.205070672417534,3
GAT-MAPPO,50,8.0,0.5,0.7999999999999999,0.058878405775518984,0.17333333333333334,0.057348835113617505,0.03333333333333333,0.033993463423951896,65.76666666666667,17.554808141614334,3
EA-RG-MAPPO-S,50,4.0,0.0,0.8733333333333334,0.05734883511361747,0.06666666666666667,0.033993463423951896,0.06,0.0282842712474619,66.79333333333334,6.499914529352589,3
EA-RG-MAPPO-S,50,4.0,0.25,0.8866666666666666,0.04988876515698589,0.07333333333333333,0.033993463423951896,0.04,0.01632993161855452,64.51333333333334,5.712800441892654,3
EA-RG-MAPPO-S,50,4.0,0.5,0.9199999999999999,0.032659863237109024,0.04666666666666667,0.009428090415820631,0.03333333333333333,0.024944382578492942,64.5,6.112108201485527,3
EA-RG-MAPPO-S,50,8.0,0.0,0.8533333333333334,0.024944382578492966,0.10666666666666667,0.0339934634239519,0.04,0.032659863237109045,68.04,4.31842563904949,3
EA-RG-MAPPO-S,50,8.0,0.25,0.9,0.04320493798938574,0.07333333333333333,0.024944382578492946,0.02666666666666667,0.024944382578492942,64.86666666666666,4.549178191961953,3
EA-RG-MAPPO-S,50,8.0,0.5,0.92,0.0,0.05333333333333334,0.009428090415820631,0.02666666666666667,0.009428090415820633,63.68666666666667,3.973120799684912,3
