step,comm_radius,nodes,team_edges,enemy_edges,total_edges,min_range,max_range,nan_count,inf_count
0,2000.0,4,4,8,16,0.12599603831768036,0.272855281829834,0,0
0,4000.0,4,4,8,16,0.12599603831768036,0.272855281829834,0,0
0,8000.0,4,4,8,16,0.12599603831768036,0.272855281829834,0,0
0,12000.0,4,4,8,16,0.12599603831768036,0.272855281829834,0,0
1,2000.0,4,4,8,16,0.12535318732261658,0.2642765939235687,0,0
1,4000.0,4,4,8,16,0.12535318732261658,0.2642765939235687,0,0
1,8000.0,4,4,8,16,0.12535318732261658,0.2642765939235687,0,0
1,12000.0,4,4,8,16,0.12535318732261658,0.2642765939235687,0,0
2,2000.0,4,4,8,16,0.12471044808626175,0.25574201345443726,0,0
2,4000.0,4,4,8,16,0.12471044808626175,0.25574201345443726,0,0
2,8000.0,4,4,8,16,0.12471044808626175,0.25574201345443726,0,0
2,12000.0,4,4,8,16,0.12471044808626175,0.25574201345443726,0,0
3,2000.0,4,4,8,16,0.1240677759051323,0.24725612998008728,0,0
3,4000.0,4,4,8,16,0.1240677759051323,0.24725612998008728,0,0
3,8000.0,4,4,8,16,0.1240677759051323,0.24725612998008728,0,0
3,12000.0,4,4,8,16,0.1240677759051323,0.24725612998008728,0,0
4,2000.0,4,4,8,16,0.12342519313097,0.23882406949996948,0,0
4,4000.0,4,4,8,16,0.12342519313097,0.23882406949996948,0,0
4,8000.0,4,4,8,16,0.12342519313097,0.23882406949996948,0,0
4,12000.0,4,4,8,16,0.12342519313097,0.23882406949996948,0,0
5,2000.0,4,4,8,16,0.12278269976377487,0.2304518073797226,0,0
5,4000.0,4,4,8,16,0.12278269976377487,0.2304518073797226,0,0
5,8000.0,4,4,8,16,0.12278269976377487,0.2304518073797226,0,0
5,12000.0,4,4,8,16,0.12278269976377487,0.2304518073797226,0,0
6,2000.0,4,4,8,16,0.1221403107047081,0.22214604914188385,0,0
6,4000.0,4,4,8,16,0.1221403107047081,0.22214604914188385,0,0
6,8000.0,4,4,8,16,0.1221403107047081,0.22214604914188385,0,0
6,12000.0,4,4,8,16,0.1221403107047081,0.22214604914188385,0,0
7,2000.0,4,4,8,16,0.1214979961514473,0.21391454339027405,0,0
7,4000.0,4,4,8,16,0.1214979961514473,0.21391454339027405,0,0
7,8000.0,4,4,8,16,0.1214979961514473,0.21391454339027405,0,0
7,12000.0,4,4,8,16,0.1214979961514473,0.21391454339027405,0,0
8,2000.0,4,4,8,16,0.12085578590631485,0.20576629042625427,0,0
8,4000.0,4,4,8,16,0.12085578590631485,0.20576629042625427,0,0
8,8000.0,4,4,8,16,0.12085578590631485,0.20576629042625427,0,0
8,12000.0,4,4,8,16,0.12085578590631485,0.20576629042625427,0,0
9,2000.0,4,4,8,16,0.12021365016698837,0.19771146774291992,0,0
9,4000.0,4,4,8,16,0.12021365016698837,0.19771146774291992,0,0
9,8000.0,4,4,8,16,0.12021365016698837,0.19771146774291992,0,0
9,12000.0,4,4,8,16,0.12021365016698837,0.19771146774291992,0,0
10,2000.0,4,4,8,16,0.11957163363695145,0.18976202607154846,0,0
10,4000.0,4,4,8,16,0.11957163363695145,0.18976202607154846,0,0
10,8000.0,4,4,8,16,0.11957163363695145,0.18976202607154846,0,0
10,12000.0,4,4,8,16,0.11957163363695145,0.18976202607154846,0,0
11,2000.0,4,4,8,16,0.11892969906330109,0.18219175934791565,0,0
11,4000.0,4,4,8,16,0.11892969906330109,0.18219175934791565,0,0
11,8000.0,4,4,8,16,0.11892969906330109,0.18219175934791565,0,0
11,12000.0,4,4,8,16,0.11892969906330109,0.18219175934791565,0,0
12,2000.0,4,4,8,16,0.11828786879777908,0.1756991147994995,0,0
12,4000.0,4,4,8,16,0.11828786879777908,0.1756991147994995,0,0
12,8000.0,4,4,8,16,0.11828786879777908,0.1756991147994995,0,0
12,12000.0,4,4,8,16,0.11828786879777908,0.1756991147994995,0,0
13,2000.0,4,4,8,16,0.11375492066144943,0.1694193035364151,0,0
13,4000.0,4,4,8,16,0.11375492066144943,0.1694193035364151,0,0
13,8000.0,4,4,8,16,0.11375492066144943,0.1694193035364151,0,0
13,12000.0,4,4,8,16,0.11375492066144943,0.1694193035364151,0,0
14,2000.0,4,4,8,16,0.10483954101800919,0.1633768528699875,0,0
14,4000.0,4,4,8,16,0.10483954101800919,0.1633768528699875,0,0
14,8000.0,4,4,8,16,0.10483954101800919,0.1633768528699875,0,0
14,12000.0,4,4,8,16,0.10483954101800919,0.1633768528699875,0,0
15,2000.0,4,4,8,16,0.09594041109085083,0.1575990915298462,0,0
15,4000.0,4,4,8,16,0.09594041109085083,0.1575990915298462,0,0
15,8000.0,4,4,8,16,0.09594041109085083,0.1575990915298462,0,0
15,12000.0,4,4,8,16,0.09594041109085083,0.1575990915298462,0,0
16,2000.0,4,4,8,16,0.08706250786781311,0.15211613476276398,0,0
16,4000.0,4,4,8,16,0.08706250786781311,0.15211613476276398,0,0
16,8000.0,4,4,8,16,0.08706250786781311,0.15211613476276398,0,0
16,12000.0,4,4,8,16,0.08706250786781311,0.15211613476276398,0,0
17,2000.0,4,4,8,16,0.07821305841207504,0.14696104824543,0,0
17,4000.0,4,4,8,16,0.07821305841207504,0.14696104824543,0,0
17,8000.0,4,4,8,16,0.07821305841207504,0.14696104824543,0,0
17,12000.0,4,4,8,16,0.07821305841207504,0.14696104824543,0,0
18,2000.0,4,4,8,16,0.06940295547246933,0.14216946065425873,0,0
18,4000.0,4,4,8,16,0.06940295547246933,0.14216946065425873,0,0
18,8000.0,4,4,8,16,0.06940295547246933,0.14216946065425873,0,0
18,12000.0,4,4,8,16,0.06940295547246933,0.14216946065425873,0,0
19,2000.0,4,4,8,16,0.060649339109659195,0.13777931034564972,0,0
19,4000.0,4,4,8,16,0.060649339109659195,0.13777931034564972,0,0
19,8000.0,4,4,8,16,0.060649339109659195,0.13777931034564972,0,0
19,12000.0,4,4,8,16,0.060649339109659195,0.13777931034564972,0,0
20,2000.0,4,4,8,16,0.05198076739907265,0.13383011519908905,0,0
20,4000.0,4,4,8,16,0.05198076739907265,0.13383011519908905,0,0
20,8000.0,4,4,8,16,0.05198076739907265,0.13383011519908905,0,0
20,12000.0,4,4,8,16,0.05198076739907265,0.13383011519908905,0,0
21,2000.0,4,4,8,16,0.04344816133379936,0.13036194443702698,0,0
21,4000.0,4,4,8,16,0.04344816133379936,0.13036194443702698,0,0
21,8000.0,4,4,8,16,0.04344816133379936,0.13036194443702698,0,0
21,12000.0,4,4,8,16,0.04344816133379936,0.13036194443702698,0,0
22,2000.0,4,4,8,16,0.0351506732404232,0.12741410732269287,0,0
22,4000.0,4,4,8,16,0.0351506732404232,0.12741410732269287,0,0
22,8000.0,4,4,8,16,0.0351506732404232,0.12741410732269287,0,0
22,12000.0,4,4,8,16,0.0351506732404232,0.12741410732269287,0,0
23,2000.0,4,4,8,16,0.027303524315357208,0.12502339482307434,0,0
23,4000.0,4,4,8,16,0.027303524315357208,0.12502339482307434,0,0
23,8000.0,4,4,8,16,0.027303524315357208,0.12502339482307434,0,0
23,12000.0,4,4,8,16,0.027303524315357208,0.12502339482307434,0,0
24,2000.0,4,4,8,16,0.020432326942682266,0.1232222393155098,0,0
24,4000.0,4,4,8,16,0.020432326942682266,0.1232222393155098,0,0
24,8000.0,4,4,8,16,0.020432326942682266,0.1232222393155098,0,0
24,12000.0,4,4,8,16,0.020432326942682266,0.1232222393155098,0,0
25,2000.0,4,4,8,16,0.015860721468925476,0.12203675508499146,0,0
25,4000.0,4,4,8,16,0.015860721468925476,0.12203675508499146,0,0
25,8000.0,4,4,8,16,0.015860721468925476,0.12203675508499146,0,0
25,12000.0,4,4,8,16,0.015860721468925476,0.12203675508499146,0,0
26,2000.0,4,4,8,16,0.01573944091796875,0.12148495763540268,0,0
26,4000.0,4,4,8,16,0.01573944091796875,0.12148495763540268,0,0
26,8000.0,4,4,8,16,0.01573944091796875,0.12148495763540268,0,0
26,12000.0,4,4,8,16,0.01573944091796875,0.12148495763540268,0,0
27,2000.0,4,4,8,16,0.015509875491261482,0.1215754896402359,0,0
27,4000.0,4,4,8,16,0.015509875491261482,0.1215754896402359,0,0
27,8000.0,4,4,8,16,0.015509875491261482,0.1215754896402359,0,0
27,12000.0,4,4,8,16,0.015509875491261482,0.1215754896402359,0,0
28,2000.0,4,4,8,16,0.019413912668824196,0.12230690568685532,0,0
28,4000.0,4,4,8,16,0.019413912668824196,0.12230690568685532,0,0
28,8000.0,4,4,8,16,0.019413912668824196,0.12230690568685532,0,0
28,12000.0,4,4,8,16,0.019413912668824196,0.12230690568685532,0,0
29,2000.0,4,4,8,16,0.02598569355905056,0.12366785854101181,0,0
29,4000.0,4,4,8,16,0.02598569355905056,0.12366785854101181,0,0
29,8000.0,4,4,8,16,0.02598569355905056,0.12366785854101181,0,0
29,12000.0,4,4,8,16,0.02598569355905056,0.12366785854101181,0,0
30,2000.0,4,4,8,16,0.03369903564453125,0.12563787400722504,0,0
30,4000.0,4,4,8,16,0.03369903564453125,0.12563787400722504,0,0
30,8000.0,4,4,8,16,0.03369903564453125,0.12563787400722504,0,0
30,12000.0,4,4,8,16,0.03369903564453125,0.12563787400722504,0,0
31,2000.0,4,4,8,16,0.04192858561873436,0.1281888782978058,0,0
31,4000.0,4,4,8,16,0.04192858561873436,0.1281888782978058,0,0
31,8000.0,4,4,8,16,0.04192858561873436,0.1281888782978058,0,0
31,12000.0,4,4,8,16,0.04192858561873436,0.1281888782978058,0,0
32,2000.0,4,4,8,16,0.050422217696905136,0.13128700852394104,0,0
32,4000.0,4,4,8,16,0.050422217696905136,0.13128700852394104,0,0
32,8000.0,4,4,8,16,0.050422217696905136,0.13128700852394104,0,0
32,12000.0,4,4,8,16,0.050422217696905136,0.13128700852394104,0,0
33,2000.0,4,4,8,16,0.05906612053513527,0.13489457964897156,0,0
33,4000.0,4,4,8,16,0.05906612053513527,0.13489457964897156,0,0
