scenario,n_paired_episodes,full_success_mean,no_role_pair_gate_success_mean,delta_success_mean,delta_success_ci_low,delta_success_ci_high,delta_success_p_bootstrap,full_post_failure_chain_recovered_mean,no_role_pair_gate_post_failure_chain_recovered_mean,delta_post_failure_chain_recovered_mean,delta_post_failure_chain_recovered_ci_low,delta_post_failure_chain_recovered_ci_high,delta_post_failure_chain_recovered_p_bootstrap,full_post_failure_chain_recovery_steps_mean,no_role_pair_gate_post_failure_chain_recovery_steps_mean,delta_post_failure_chain_recovery_steps_mean,delta_post_failure_chain_recovery_steps_ci_low,delta_post_failure_chain_recovery_steps_ci_high,delta_post_failure_chain_recovery_steps_p_bootstrap,full_tracking_during_failure_rate_mean,no_role_pair_gate_tracking_during_failure_rate_mean,delta_tracking_during_failure_rate_mean,delta_tracking_during_failure_rate_ci_low,delta_tracking_during_failure_rate_ci_high,delta_tracking_during_failure_rate_p_bootstrap,full_connectivity_during_failure_mean,no_role_pair_gate_connectivity_during_failure_mean,delta_connectivity_during_failure_mean,delta_connectivity_during_failure_ci_low,delta_connectivity_during_failure_ci_high,delta_connectivity_during_failure_p_bootstrap,full_steps_mean,no_role_pair_gate_steps_mean,delta_steps_mean,delta_steps_ci_low,delta_steps_ci_high,delta_steps_p_bootstrap,full_timeout_mean,no_role_pair_gate_timeout_mean,delta_timeout_mean,delta_timeout_ci_low,delta_timeout_ci_high,delta_timeout_p_bootstrap
relay_failure,30,1,1,0,0,0,1,1,1,0,0,0,1,5.64444,5.13333,0.333333,0.166667,0.5,0,0.999663,1,0,0,0,1,0.438007,0.445194,-0.00527337,-0.00813051,-0.0026455,0,45.6444,45.1333,0.333333,0.166667,0.5,0,0,0,0,0,0,1
scout_failure,30,0.966667,1,0,0,0,1,0.966667,1,0,0,0,1,12.6889,5.13333,0.366667,0.2,0.533333,0,0.9717,1,0,0,0,1,0.435869,0.445194,-0.00567019,-0.0086067,-0.00295414,0,52.6889,45.1333,0.366667,0.2,0.533333,0,0.0333333,0,0,0,0,1
