graph_encoder,train_seed,episode,rollout_seed,step,node_failure_active,success,timeout,chain_closed,tracking_rate,attack_window_rate,comm_connectivity,mean_message_age,mean_range,blue0_x,blue0_y,blue0_z,blue1_x,blue1_y,blue1_z,blue2_x,blue2_y,blue2_z,red0_x,red0_y,red0_z
single,0,0,91000,29,0,0,0,0,0.333333,0,1,0,12264,-7068.69,-4317.4,4940.66,-9671,0,5200,-6495.28,3573.33,4878.98,3911.46,-2078.78,5065.25
single,0,0,91000,30,0,0,0,0,0.333333,0,1,0,11824.4,-6827.27,-4275.96,4945.56,-9451,0,5200,-6234.13,3504.97,4873.58,3701.51,-2082.79,5067.5
single,0,0,91000,31,0,0,0,0,0.666667,0,1,0,11386.1,-6585.85,-4234.52,4950.46,-9231,0,5200,-5973.95,3436.87,4897.45,3491.56,-2086.8,5069.75
single,0,0,91000,32,0,0,0,0,0.666667,0,1,0,10948.9,-6344.43,-4193.07,4955.36,-9011,0,5200,-5712.8,3368.52,4892.05,3281.61,-2090.81,5072
single,0,0,91000,33,0,0,0,0,0.666667,0,1,0,10513.1,-6103.01,-4151.63,4960.26,-8791,0,5200,-5452.62,3300.42,4915.91,3071.66,-2094.82,5074.25
single,0,0,91000,34,0,0,0,0,1,0,1,0,10078.8,-5861.59,-4110.19,4965.16,-8571,0,5200,-5191.47,3232.07,4910.51,2861.71,-2098.83,5076.5
single,0,0,91000,35,0,0,0,0,1,0,1,0,9646.46,-5620.17,-4068.75,4970.06,-8351,0,5200,-4931.29,3163.97,4934.38,2651.76,-2102.84,5078.75
single,0,0,91000,36,0,0,0,0,1,0,1,0,9215.98,-5378.75,-4027.31,4974.96,-8131,0,5200,-4670.15,3095.61,4928.98,2441.81,-2106.85,5081
single,0,0,91000,37,0,0,0,0,1,0,1,0,8787.99,-5137.33,-3985.87,4979.86,-7911,0,5200,-4409.97,3027.51,4952.84,2231.86,-2110.86,5083.25
single,0,0,91000,38,0,0,0,0,1,0,1,0,8362.57,-4895.91,-3944.43,4984.76,-7691,0,5200,-4148.82,2959.16,4947.44,2021.92,-2114.87,5085.5
single,0,0,91000,39,0,0,0,0,1,0,1,0,7940.43,-4654.49,-3902.98,4989.66,-7471,0,5200,-3888.64,2891.06,4971.31,1811.97,-2118.88,5087.75
single,0,0,91000,40,1,0,0,0,1,0,1,0,7521.82,-4413.07,-3861.54,4994.56,-7251,0,5200,-3627.49,2822.71,4965.91,1602.02,-2122.89,5090
single,0,0,91000,41,1,0,0,0,1,0,0.333333,0.666667,7107.66,-4171.65,-3820.1,4999.46,-7031,0,5200,-3367.31,2754.61,4989.77,1392.07,-2126.9,5092.25
single,0,0,91000,42,1,0,0,0,1,0,0.333333,1.33333,6698.45,-3930.23,-3778.66,5004.36,-6811,0,5200,-3106.16,2686.25,4984.37,1182.12,-2130.91,5094.5
single,0,0,91000,43,1,0,0,0,1,0,0.333333,2,6295.41,-3688.81,-3737.22,5009.26,-6591,0,5200,-2845.98,2618.15,5008.23,972.167,-2134.92,5096.75
single,0,0,91000,44,1,0,0,0,1,0,0.333333,2.66667,5899.6,-3447.39,-3695.78,5014.16,-6371.65,0,5183.08,-2584.84,2549.8,5002.84,762.217,-2138.93,5099
single,0,0,91000,45,1,0,0,0,1,0,0.333333,3.33333,5508.72,-3207.57,-3645.91,5019.06,-6151.65,0,5183.08,-2328.55,2468.27,5026.7,552.267,-2142.94,5101.25
single,0,0,91000,46,1,0,0,0,1,0.333333,0.333333,4,5127.07,-2969.64,-3587.69,5023.96,-5932.3,0,5166.15,-2071.31,2386.43,5021.3,342.318,-2146.95,5103.5
single,0,0,91000,47,1,0,0,0,0.666667,0.333333,0.333333,4.66667,4756.42,-2733.89,-3521.17,5028.85,-5712.3,0,5166.15,-1815.02,2304.9,5045.16,132.368,-2150.96,5105.75
single,0,0,91000,48,1,0,0,0,0.666667,0,0.333333,5.33333,4399.09,-2500.62,-3446.45,5033.75,-5492.96,0,5149.23,-1557.78,2223.07,5039.76,-77.5817,-2154.97,5108
single,0,0,91000,49,1,0,0,0,0.666667,0,0.333333,6,4057.53,-2270.1,-3363.61,5038.65,-5272.96,0,5149.23,-1301.49,2141.54,5063.63,-287.531,-2158.98,5110.25
single,0,0,91000,50,1,0,0,0,0.666667,0,0.333333,6.66667,3735.15,-2042.62,-3272.75,5043.55,-5053.61,0,5132.31,-1044.25,2059.7,5058.23,-497.481,-2162.99,5112.5
single,0,0,91000,51,1,0,0,0,0.666667,0,0.333333,7.33333,3435.88,-1818.46,-3173.99,5048.45,-4833.61,0,5132.31,-787.958,1978.17,5082.09,-707.431,-2167,5114.75
single,0,0,91000,52,1,0,0,0,0.666667,0,0.333333,8,3166.79,-1597.9,-3067.44,5053.35,-4614.26,0,5115.38,-530.715,1896.33,5076.69,-917.38,-2171.01,5117
single,0,0,91000,53,1,0,0,0,0.666667,0,0.333333,8.66667,2941.91,-1381.2,-2953.24,5058.25,-4394.26,0,5115.38,-273.473,1814.5,5071.29,-1127.33,-2175.02,5119.25
single,0,0,91000,54,1,0,0,0,0.333333,0,0.333333,9.33333,2797.04,-1164.5,-2839.05,5063.15,-4174.26,0,5115.38,-16.2298,1732.66,5065.89,-1337.28,-2179.03,5121.5
single,0,0,91000,55,1,0,0,0,0.333333,0,0.333333,10,2763.3,-947.793,-2724.85,5068.05,-3954.26,0,5115.38,240.058,1651.13,5089.76,-1547.23,-2183.04,5123.75
single,0,0,91000,56,1,0,0,0,0.333333,0,0.333333,10.6667,2813.59,-731.091,-2610.65,5072.95,-3734.26,0,5115.38,497.3,1569.3,5084.36,-1757.18,-2187.05,5126
