scenario,n_paired_episodes,single_post_failure_chain_recovered_mean,multi_post_failure_chain_recovered_mean,delta_post_failure_chain_recovered_mean,delta_post_failure_chain_recovered_ci_low,delta_post_failure_chain_recovered_ci_high,delta_post_failure_chain_recovered_p_bootstrap,single_post_failure_chain_recovery_steps_mean,multi_post_failure_chain_recovery_steps_mean,delta_post_failure_chain_recovery_steps_mean,delta_post_failure_chain_recovery_steps_ci_low,delta_post_failure_chain_recovery_steps_ci_high,delta_post_failure_chain_recovery_steps_p_bootstrap,single_chain_closed_during_failure_rate_mean,multi_chain_closed_during_failure_rate_mean,delta_chain_closed_during_failure_rate_mean,delta_chain_closed_during_failure_rate_ci_low,delta_chain_closed_during_failure_rate_ci_high,delta_chain_closed_during_failure_rate_p_bootstrap,single_tracking_during_failure_rate_mean,multi_tracking_during_failure_rate_mean,delta_tracking_during_failure_rate_mean,delta_tracking_during_failure_rate_ci_low,delta_tracking_during_failure_rate_ci_high,delta_tracking_during_failure_rate_p_bootstrap,single_connectivity_during_failure_mean,multi_connectivity_during_failure_mean,delta_connectivity_during_failure_mean,delta_connectivity_during_failure_ci_low,delta_connectivity_during_failure_ci_high,delta_connectivity_during_failure_p_bootstrap,single_first_chain_close_step_mean,multi_first_chain_close_step_mean,delta_first_chain_close_step_mean,delta_first_chain_close_step_ci_low,delta_first_chain_close_step_ci_high,delta_first_chain_close_step_p_bootstrap,single_steps_mean,multi_steps_mean,delta_steps_mean,delta_steps_ci_low,delta_steps_ci_high,delta_steps_p_bootstrap,single_success_mean,multi_success_mean,delta_success_mean,delta_success_ci_low,delta_success_ci_high,delta_success_p_bootstrap
relay_failure,90,0.922222,1,0.0777778,0.0222222,0.133333,0.0016,21.8222,5.64444,-16.1778,-28,-4.51111,0.0006,0.155273,0.157011,0.00173761,-0.00440035,0.00850089,0.6346,0.934352,0.999663,0.0653114,0.0273822,0.11235,0.0018,0.436571,0.438007,0.00143619,-0.00298803,0.00648372,0.5816,41.5222,45.6444,4.12222,1.79972,6.94444,0,61.8222,45.6444,-16.1778,-28.0333,-4.53333,0.0014,0.922222,1,0.0777778,0.0222222,0.133333,0.001
scout_failure,90,0.944444,0.966667,0.0222222,-0.0333333,0.0777778,0.5364,17.1333,12.6889,-4.44444,-16.2222,7.27778,0.5266,0.157496,0.153387,-0.00410895,-0.0107939,0.00255419,0.222,0.952824,0.9717,0.0188763,-0.0271759,0.0653114,0.3388,0.438608,0.435869,-0.0027393,-0.00678427,0.00147687,0.1946,42.6333,43.9889,1.35556,-1.3,4.1,0.2882,57.1333,52.6889,-4.44444,-16.2111,7.31111,0.5362,0.944444,0.966667,0.0222222,-0.0333333,0.0777778,0.5456
