scenario,n_paired_episodes,full_success_mean,no_task_support_success_mean,delta_success_mean,delta_success_ci_low,delta_success_ci_high,delta_success_p_bootstrap,full_post_failure_chain_recovered_mean,no_task_support_post_failure_chain_recovered_mean,delta_post_failure_chain_recovered_mean,delta_post_failure_chain_recovered_ci_low,delta_post_failure_chain_recovered_ci_high,delta_post_failure_chain_recovered_p_bootstrap,full_post_failure_chain_recovery_steps_mean,no_task_support_post_failure_chain_recovery_steps_mean,delta_post_failure_chain_recovery_steps_mean,delta_post_failure_chain_recovery_steps_ci_low,delta_post_failure_chain_recovery_steps_ci_high,delta_post_failure_chain_recovery_steps_p_bootstrap,full_chain_closed_during_failure_rate_mean,no_task_support_chain_closed_during_failure_rate_mean,delta_chain_closed_during_failure_rate_mean,delta_chain_closed_during_failure_rate_ci_low,delta_chain_closed_during_failure_rate_ci_high,delta_chain_closed_during_failure_rate_p_bootstrap,full_tracking_during_failure_rate_mean,no_task_support_tracking_during_failure_rate_mean,delta_tracking_during_failure_rate_mean,delta_tracking_during_failure_rate_ci_low,delta_tracking_during_failure_rate_ci_high,delta_tracking_during_failure_rate_p_bootstrap,full_connectivity_during_failure_mean,no_task_support_connectivity_during_failure_mean,delta_connectivity_during_failure_mean,delta_connectivity_during_failure_ci_low,delta_connectivity_during_failure_ci_high,delta_connectivity_during_failure_p_bootstrap,full_steps_mean,no_task_support_steps_mean,delta_steps_mean,delta_steps_ci_low,delta_steps_ci_high,delta_steps_p_bootstrap,full_timeout_mean,no_task_support_timeout_mean,delta_timeout_mean,delta_timeout_ci_low,delta_timeout_ci_high,delta_timeout_p_bootstrap
relay_failure,30,1,0.9,0.1,0,0.2,0.0906,1,0.9,0.1,0,0.233333,0.0832,5.64444,26.7333,-21.2667,-49.4008,-0.0333333,0.0488,0.157011,0.148783,0.0110979,-0.00108532,0.0263231,0.0834,0.999663,0.915694,0.0843056,0,0.169583,0.088,0.438007,0.429189,0.0107319,-0.000714286,0.0265192,0.0786,45.6444,66.7333,-21.2667,-42.7667,0,0.0504,0,0.1,-0.1,-0.233333,0,0.0908
scout_failure,30,0.966667,0.866667,0.133333,0.0333333,0.266667,0.0238,0.966667,0.866667,0.133333,0.0333333,0.266667,0.0294,12.6889,33.7667,-28.2667,-56.5667,-6.96667,0.0242,0.153387,0.14545,0.013836,0.000674603,0.0297619,0.0356,0.9717,0.8875,0.1125,0.0277778,0.225139,0.0294,0.435869,0.42655,0.012974,0.00104056,0.0273415,0.0298,52.6889,73.7667,-28.2667,-56.5667,-6.93333,0.0238,0.0333333,0.133333,-0.133333,-0.266667,-0.0333333,0.0248
