job_id,pid,row_index,mode,kind,method,seed,status,started_utc,command,stdout_log,stderr_log
20260723T192818Z_dev_1m_train_ea_rg_mappo_seed0,27816,10,dev_1m,train,ea_rg_mappo,0,ready,2026-07-23T19:28:18+00:00,D:/Anaconda/envs/.conda/envs/cac/python.exe -B scripts/run_paper_manifest.py --kind train --method ea_rg_mappo --seed 0 --status ready --limit 1 --python-exe D:/Anaconda/envs/.conda/envs/cac/python.exe --skip-completed,C:\Users\96251\Documents\Codex\2026-07-12\ni\work\ri_gmappo_uav\results\paper_manifest_job_logs\20260723T192818Z_dev_1m_train_ea_rg_mappo_seed0.stdout.txt,C:\Users\96251\Documents\Codex\2026-07-12\ni\work\ri_gmappo_uav\results\paper_manifest_job_logs\20260723T192818Z_dev_1m_train_ea_rg_mappo_seed0.stderr.txt
20260723T193021Z_dev_1m_train_single_graph_seed0,34884,5,dev_1m,train,single_graph,0,ready,2026-07-23T19:30:21+00:00,D:/Anaconda/envs/.conda/envs/cac/python.exe -B scripts/run_paper_manifest.py --kind train --method single_graph --seed 0 --status ready --limit 1 --python-exe D:/Anaconda/envs/.conda/envs/cac/python.exe --skip-completed,C:\Users\96251\Documents\Codex\2026-07-12\ni\work\ri_gmappo_uav\results\paper_manifest_job_logs\20260723T193021Z_dev_1m_train_single_graph_seed0.stdout.txt,C:\Users\96251\Documents\Codex\2026-07-12\ni\work\ri_gmappo_uav\results\paper_manifest_job_logs\20260723T193021Z_dev_1m_train_single_graph_seed0.stderr.txt
20260723T193021Z_dev_1m_train_mappo_seed0,32888,0,dev_1m,train,mappo,0,ready,2026-07-23T19:30:21+00:00,D:/Anaconda/envs/.conda/envs/cac/python.exe -B scripts/run_paper_manifest.py --kind train --method mappo --seed 0 --status ready --limit 1 --python-exe D:/Anaconda/envs/.conda/envs/cac/python.exe --skip-completed,C:\Users\96251\Documents\Codex\2026-07-12\ni\work\ri_gmappo_uav\results\paper_manifest_job_logs\20260723T193021Z_dev_1m_train_mappo_seed0.stdout.txt,C:\Users\96251\Documents\Codex\2026-07-12\ni\work\ri_gmappo_uav\results\paper_manifest_job_logs\20260723T193021Z_dev_1m_train_mappo_seed0.stderr.txt
20260723T193021Z_dev_1m_train_happo_seed0,7364,15,dev_1m,train,happo,0,ready,2026-07-23T19:30:21+00:00,D:/Anaconda/envs/.conda/envs/cac/python.exe -B scripts/run_paper_manifest.py --kind train --method happo --seed 0 --status ready --limit 1 --python-exe D:/Anaconda/envs/.conda/envs/cac/python.exe --skip-completed,C:\Users\96251\Documents\Codex\2026-07-12\ni\work\ri_gmappo_uav\results\paper_manifest_job_logs\20260723T193021Z_dev_1m_train_happo_seed0.stdout.txt,C:\Users\96251\Documents\Codex\2026-07-12\ni\work\ri_gmappo_uav\results\paper_manifest_job_logs\20260723T193021Z_dev_1m_train_happo_seed0.stderr.txt
