scenario,episodes,full_success,no_task_support_success,full_minus_no_task_support_success,full_chain_closed,no_task_support_chain_closed,full_minus_no_task_support_chain_closed,full_tracking_rate,no_task_support_tracking_rate,full_minus_no_task_support_tracking_rate,full_comm_connectivity,no_task_support_comm_connectivity,full_minus_no_task_support_comm_connectivity,full_mean_message_age,no_task_support_mean_message_age,full_minus_no_task_support_mean_message_age,full_timeout,no_task_support_timeout,full_minus_no_task_support_timeout,full_steps,no_task_support_steps,full_minus_no_task_support_steps,full_post_failure_chain_recovered,no_task_support_post_failure_chain_recovered,full_minus_no_task_support_post_failure_chain_recovered,full_post_failure_chain_recovery_steps,no_task_support_post_failure_chain_recovery_steps,full_minus_no_task_support_post_failure_chain_recovery_steps
relay_failure,10,1,0.3,0.7,1,0.3,0.7,0.441782,0.19094,0.250842,0.914888,0.676923,0.237965,47.7172,61.0362,-13.319,0,0.7,-0.7,45.9,195.5,-149.6,1,0.3,0.7,5.9,155.5,-149.6
scout_failure,10,1,0.3,0.7,1,0.3,0.7,0.441782,0.192863,0.248919,0.914888,0.834188,0.0806997,47.7172,61.2264,-13.5093,0,0.7,-0.7,45.9,195.5,-149.6,1,0.3,0.7,5.9,155.5,-149.6
