scenario,n_paired_episodes,full_success_mean,no_role_pair_gate_success_mean,delta_success_mean,delta_success_ci_low,delta_success_ci_high,delta_success_p_bootstrap,full_post_failure_chain_recovered_mean,no_role_pair_gate_post_failure_chain_recovered_mean,delta_post_failure_chain_recovered_mean,delta_post_failure_chain_recovered_ci_low,delta_post_failure_chain_recovered_ci_high,delta_post_failure_chain_recovered_p_bootstrap,full_post_failure_chain_recovery_steps_mean,no_role_pair_gate_post_failure_chain_recovery_steps_mean,delta_post_failure_chain_recovery_steps_mean,delta_post_failure_chain_recovery_steps_ci_low,delta_post_failure_chain_recovery_steps_ci_high,delta_post_failure_chain_recovery_steps_p_bootstrap,full_tracking_during_failure_rate_mean,no_role_pair_gate_tracking_during_failure_rate_mean,delta_tracking_during_failure_rate_mean,delta_tracking_during_failure_rate_ci_low,delta_tracking_during_failure_rate_ci_high,delta_tracking_during_failure_rate_p_bootstrap,full_connectivity_during_failure_mean,no_role_pair_gate_connectivity_during_failure_mean,delta_connectivity_during_failure_mean,delta_connectivity_during_failure_ci_low,delta_connectivity_during_failure_ci_high,delta_connectivity_during_failure_p_bootstrap,full_steps_mean,no_role_pair_gate_steps_mean,delta_steps_mean,delta_steps_ci_low,delta_steps_ci_high,delta_steps_p_bootstrap,full_timeout_mean,no_role_pair_gate_timeout_mean,delta_timeout_mean,delta_timeout_ci_low,delta_timeout_ci_high,delta_timeout_p_bootstrap
relay_failure,90,1,0.955556,0.0444444,0.0111111,0.0888889,0.0362,1,0.955556,0.0444444,0.0111111,0.0888889,0.0332,5.64444,15.4444,-9.8,-19.2,-2.65556,0,0.999663,0.962269,0.0373948,0.00910774,0.0750337,0.0288,0.438007,0.429012,0.00899539,0.0049681,0.0132601,0,45.6444,55.4444,-9.8,-19.1889,-2.65528,0,0,0.0444444,-0.0444444,-0.0888889,-0.0111111,0.0328
scout_failure,90,0.966667,0.933333,0.0333333,-0.0111111,0.0888889,0.2438,0.966667,0.933333,0.0333333,-0.0111111,0.0777778,0.247,12.6889,20.1667,-7.47778,-18.9669,2.00028,0.0954,0.9717,0.942897,0.0288035,-0.00854497,0.0673932,0.0994,0.435869,0.429139,0.00673032,0.00245915,0.0110177,0.0012,52.6889,60.1667,-7.47778,-19.1444,2,0.0932,0.0333333,0.0666667,-0.0333333,-0.0888889,0.0111111,0.2466
