path,artifact_group,expected_size_bytes,actual_size_bytes,expected_sha256,actual_sha256,status,notes
scripts/audit_result_provenance.py,script,16120,16120,47fe93678e5511ddfb62e28917557322dde009e22fa147f949e8f169019def0e,47fe93678e5511ddfb62e28917557322dde009e22fa147f949e8f169019def0e,OK,verified
scripts/make_latex_tables.py,script,8985,8985,07228ee1568bfd3532f3f84ae35f5a94b153c7c347c15adc465b05a6c220465c,07228ee1568bfd3532f3f84ae35f5a94b153c7c347c15adc465b05a6c220465c,OK,verified
scripts/plot_final_300_results.py,script,1955,1955,a289f084770ea706a1824f3450cc55215da7e9933c3fdbde0f73436b5057e117,a289f084770ea706a1824f3450cc55215da7e9933c3fdbde0f73436b5057e117,OK,verified
scripts/plot_comm_results.py,script,1836,1836,380bb9cf64cca183f884ab1090c9627bb3fde6b4697fae76607e748b6d0e3f32,380bb9cf64cca183f884ab1090c9627bb3fde6b4697fae76607e748b6d0e3f32,OK,verified
scripts/build_paper_appendix.py,script,5351,5351,579a21d4bda89e3d902fa6223d031dfb30db07fc89e8d28e7382b0d162d64a52,579a21d4bda89e3d902fa6223d031dfb30db07fc89e8d28e7382b0d162d64a52,OK,verified
scripts/check_latex_project.py,script,6063,6063,7002f7fdca8baa4a391a053b005ac5501e2564751c750e27d3a0c3e9da8558ae,7002f7fdca8baa4a391a053b005ac5501e2564751c750e27d3a0c3e9da8558ae,OK,verified
scripts/lag_graph_smoke_test.py,script,10195,10195,3615fecb7ae72bd05d081b1afac0d188841329b62635d9abf482cf08468789d7,3615fecb7ae72bd05d081b1afac0d188841329b62635d9abf482cf08468789d7,OK,verified
scripts/probe_lag_jsbsim_migration.py,script,9534,9534,ce46cc96f19af781d24b3d8c67dccc193f78242310763dfacb3992674de8faee,ce46cc96f19af781d24b3d8c67dccc193f78242310763dfacb3992674de8faee,OK,verified
scripts/test_lag_role_graph_adapter.py,script,6065,6065,c377f3f3b05da87bd21533cc41fec9104960269aba44dc1d2946b976a07d9ffe,c377f3f3b05da87bd21533cc41fec9104960269aba44dc1d2946b976a07d9ffe,OK,verified
scripts/test_lag_role_graph_wrapper.py,script,6211,6211,8f0f83db5ced26e187424b1491d5407883d7eb2838eb517cb380b39f4891da4d,8f0f83db5ced26e187424b1491d5407883d7eb2838eb517cb380b39f4891da4d,OK,verified
scripts/smoke_test_intercept_3d_env.py,script,11435,11435,6d86287bd3f92dd720982c0ffea6abbc7a2d7d34033bcffa1f22cd9daea5b56b,6d86287bd3f92dd720982c0ffea6abbc7a2d7d34033bcffa1f22cd9daea5b56b,OK,verified
scripts/evaluate_ri_gmappo_3d.py,script,30272,30272,b77bc689f1d92a8a29d14e3f309dd31006cf69a9e6db0b71b39165c1a3850829,b77bc689f1d92a8a29d14e3f309dd31006cf69a9e6db0b71b39165c1a3850829,OK,verified
scripts/build_3d_paper_tables.py,script,20649,20649,f429641a993febf120f90de0118448f40b5429a770720ab2527d89a5e5a5cb6d,f429641a993febf120f90de0118448f40b5429a770720ab2527d89a5e5a5cb6d,OK,verified
scripts/find_3d_relay_failure_case_candidates.py,script,6296,6296,371ae504428d50ccd5d3f677bae7661088077236b10bbc6377394fd3a73dad03,371ae504428d50ccd5d3f677bae7661088077236b10bbc6377394fd3a73dad03,OK,verified
scripts/replay_3d_relay_failure_case.py,script,14417,14417,dbefc6f8b7124d21f590d9456c9d4bd1db57040518c324e5c4af0c27598fd003,dbefc6f8b7124d21f590d9456c9d4bd1db57040518c324e5c4af0c27598fd003,OK,verified
scripts/evaluate_edge_feature_ablation.py,script,12633,12633,96894153d832805af54a5bd74802445f431fe99d4921652a38f7da00ec81b7c3,96894153d832805af54a5bd74802445f431fe99d4921652a38f7da00ec81b7c3,OK,verified
scripts/plot_edge_feature_ablation.py,script,3588,3588,a11d7c7b97f0a4771c94527b5325208a598f897ee8de6df71be93d7a25b7db5c,a11d7c7b97f0a4771c94527b5325208a598f897ee8de6df71be93d7a25b7db5c,OK,verified
scripts/evaluate_speed_robustness.py,script,6703,6703,6b2e60b5f5b9e786814e15dbc709a6df29cb01eaee9ef494154ad3761abdce0b,6b2e60b5f5b9e786814e15dbc709a6df29cb01eaee9ef494154ad3761abdce0b,OK,verified
scripts/plot_speed_robustness.py,script,2598,2598,0dc267b7f66900f3324e6461fe0ca336eab67c6d1388d13110da40d4dc552b7f,0dc267b7f66900f3324e6461fe0ca336eab67c6d1388d13110da40d4dc552b7f,OK,verified
scripts/check_paper_claim_consistency.py,script,11541,11541,148556ebfa417dfcab6c46644c5a892eb10f2d6a7713552c41ad2bc0c434fdce,148556ebfa417dfcab6c46644c5a892eb10f2d6a7713552c41ad2bc0c434fdce,OK,verified
scripts/check_english_latex_consistency.py,script,3335,3335,bb3de1285f0b2ff76557c588394fe41bcc5aa1b9b93ed1d43e61d55fdcf7b2ca,bb3de1285f0b2ff76557c588394fe41bcc5aa1b9b93ed1d43e61d55fdcf7b2ca,OK,verified
scripts/check_paper_text_risk.py,script,4681,4681,fdf9f26ed84e55854c8129260a0e89fe70233fb3f891d99c184ee8c72545a477,fdf9f26ed84e55854c8129260a0e89fe70233fb3f891d99c184ee8c72545a477,OK,verified
scripts/build_paper_assets.py,script,8154,8154,a78502d7edc3be97879f711fe8cca42291af9a47b884804df36132b9d995475a,a78502d7edc3be97879f711fe8cca42291af9a47b884804df36132b9d995475a,OK,verified
scripts/write_claim_evidence_matrix.py,script,16349,16349,a3aff4a102ace8e7182b494f9c938e1aa50580e6451b90519c4c449f3c7f5457,a3aff4a102ace8e7182b494f9c938e1aa50580e6451b90519c4c449f3c7f5457,OK,verified
scripts/audit_manuscript_evidence_references.py,script,12014,12014,fcef2cf22dac6582a208ef93a1f1d480442fda4fadc7720f3322fb9dce3be90c,fcef2cf22dac6582a208ef93a1f1d480442fda4fadc7720f3322fb9dce3be90c,OK,verified
scripts/audit_bilingual_numeric_consistency.py,script,9199,9199,a0774b4939311cd3ac20ef4b1365d0b7023498b3bcfb8dbb2fa8acf1e74e6f79,a0774b4939311cd3ac20ef4b1365d0b7023498b3bcfb8dbb2fa8acf1e74e6f79,OK,verified
scripts/audit_latex_reference_integrity.py,script,9716,9716,2f5a1584b4a0bc65089cd93cd8ace524edd524311d8c9335872f41079342360d,2f5a1584b4a0bc65089cd93cd8ace524edd524311d8c9335872f41079342360d,OK,verified
scripts/audit_bilingual_manuscript_completeness.py,script,11000,11000,a7193f5bebbb45943d6abfb492f9b85c23698b0cbe9d053c93bcdbaccdb0dbc8,a7193f5bebbb45943d6abfb492f9b85c23698b0cbe9d053c93bcdbaccdb0dbc8,OK,verified
scripts/write_submission_action_register.py,script,8304,8304,bd0c9426e04a5837a77cf5fa5ab0075aa8c7ec650264b06b4ab553c4e479b9be,bd0c9426e04a5837a77cf5fa5ab0075aa8c7ec650264b06b4ab553c4e479b9be,OK,verified
scripts/write_experiment_extension_decision_plan.py,script,9991,9991,f2ec9e510c777f4892ba451a38dba4e81a79c3c6ac96feb9b22fcd246290265a,f2ec9e510c777f4892ba451a38dba4e81a79c3c6ac96feb9b22fcd246290265a,OK,verified
scripts/write_reproducibility_checksum_manifest.py,script,5475,5475,9c3b1b1c40a290b8e63cd6608ff1f3efe41bd10234ac5c80915b09cc9b8027ae,9c3b1b1c40a290b8e63cd6608ff1f3efe41bd10234ac5c80915b09cc9b8027ae,OK,verified
scripts/verify_reproducibility_checksum_manifest.py,script,4619,4619,cda43202e61ed1273e45cda5bbcee209147ba959578c15ed8147ba90387ec51c,cda43202e61ed1273e45cda5bbcee209147ba959578c15ed8147ba90387ec51c,OK,verified
scripts/write_supplemental_data_readme.py,script,8147,8147,2bbea1950faaf5906b0de9341204a6fba74601b93107db0f0bcaedaf82ca41c5,2bbea1950faaf5906b0de9341204a6fba74601b93107db0f0bcaedaf82ca41c5,OK,verified
scripts/write_runtime_environment_report.py,script,2429,2429,0aa5a641d2c22c83bc58efce4db29abbbd10ce8069dd19986a19de7caeac8caa,0aa5a641d2c22c83bc58efce4db29abbbd10ce8069dd19986a19de7caeac8caa,OK,verified
scripts/write_checkpoint_inventory.py,script,3556,3556,8b801995d9c931175501a0b13c326153c0bf4b6c078644e407086621de444bef,8b801995d9c931175501a0b13c326153c0bf4b6c078644e407086621de444bef,OK,verified
scripts/write_submission_readiness_report.py,script,9624,9624,2d22e100740feab32dca2faccb489f6e00ec23d71cf0c4a60d8e8fd1122ac86c,2d22e100740feab32dca2faccb489f6e00ec23d71cf0c4a60d8e8fd1122ac86c,OK,verified
scripts/write_submission_package_manifest.py,script,12263,12263,a61ca3f85e36ab1468e59325d56ba829d2e210d0a49225364e2f1c33de58f801,a61ca3f85e36ab1468e59325d56ba829d2e210d0a49225364e2f1c33de58f801,OK,verified
scripts/audit_english_manuscript_readiness.py,script,8805,8805,657424c53ef5440dc60fca9d1b0278b30134fc248655b0877422ccd1dc99d4cd,657424c53ef5440dc60fca9d1b0278b30134fc248655b0877422ccd1dc99d4cd,OK,verified
