claim_id,source,value,english_file,chinese_file,status,notes
C1,results/final_comm_300_summary.csv,0.926,paper_latex_en/sections/05_experiments.tex,paper_latex/sections/05_experiments.tex,ok,EA-RG-MAPPO-S radius 4 success_mean.
C1,results/final_comm_300_summary.csv,0.054,paper_latex_en/sections/05_experiments.tex,paper_latex/sections/05_experiments.tex,ok,EA-RG-MAPPO-S radius 4 collision_mean.
C1,results/final_comm_300_summary.csv,0.919,paper_latex_en/sections/05_experiments.tex,paper_latex/sections/05_experiments.tex,ok,EA-RG-MAPPO-S radius 6 success_mean.
C1,results/final_comm_300_summary.csv,0.064,paper_latex_en/sections/05_experiments.tex,paper_latex/sections/05_experiments.tex,ok,EA-RG-MAPPO-S radius 6 collision_mean.
C1,results/final_comm_300_summary.csv,0.890,paper_latex_en/sections/05_experiments.tex,paper_latex/sections/05_experiments.tex,ok,EA-RG-MAPPO-S radius 8 success_mean.
C1,results/final_comm_300_summary.csv,0.083,paper_latex_en/sections/05_experiments.tex,paper_latex/sections/05_experiments.tex,ok,EA-RG-MAPPO-S radius 8 collision_mean.
C1,results/final_comm_300_summary.csv,0.879,paper_latex_en/sections/05_experiments.tex,paper_latex/sections/05_experiments.tex,ok,EA-RG-MAPPO-S radius 10 success_mean.
C1,results/final_comm_300_summary.csv,0.086,paper_latex_en/sections/05_experiments.tex,paper_latex/sections/05_experiments.tex,ok,EA-RG-MAPPO-S radius 10 collision_mean.
C1,results/final_comm_300_summary.csv,0.228,paper_latex_en/sections/05_experiments.tex,paper_latex/sections/05_experiments.tex,ok,MAPPO radius 4 collision comparison.
C2,results/final_300_paired_statistics.csv,0.039,paper_latex_en/sections/08_appendix_experiments.tex,paper_latex/sections/08_appendix_experiments.tex,ok,GAT-MAPPO radius 4 collision_reduction CI lower.
C2,results/final_300_paired_statistics.csv,0.123,paper_latex_en/sections/08_appendix_experiments.tex,paper_latex/sections/08_appendix_experiments.tex,ok,GAT-MAPPO radius 4 collision_reduction CI upper.
C2,results/final_300_paired_statistics.csv,0.005,paper_latex_en/sections/08_appendix_experiments.tex,paper_latex/sections/08_appendix_experiments.tex,ok,GAT-MAPPO radius 8 success_gain CI lower.
C2,results/final_300_paired_statistics.csv,0.206,paper_latex_en/sections/08_appendix_experiments.tex,paper_latex/sections/08_appendix_experiments.tex,ok,GAT-MAPPO radius 8 success_gain CI upper.
C2,results/final_300_paired_statistics.csv,0.005,paper_latex_en/sections/08_appendix_experiments.tex,paper_latex/sections/08_appendix_experiments.tex,ok,GAT-MAPPO radius 8 collision_reduction CI lower.
C2,results/final_300_paired_statistics.csv,0.186,paper_latex_en/sections/08_appendix_experiments.tex,paper_latex/sections/08_appendix_experiments.tex,ok,GAT-MAPPO radius 8 collision_reduction CI upper.
C3,results/comm_dropout_robustness_summary.csv,0.047,paper_latex_en/sections/08_appendix_experiments.tex,paper_latex/sections/08_appendix_experiments.tex,ok,EA-RG-MAPPO-S radius 4 dropout 0.50 collision.
C3,results/comm_dropout_robustness_summary.csv,0.300,paper_latex_en/sections/08_appendix_experiments.tex,paper_latex/sections/08_appendix_experiments.tex,ok,MAPPO radius 4 dropout 0.50 collision.
C3,results/comm_dropout_robustness_summary.csv,0.167,paper_latex_en/sections/08_appendix_experiments.tex,paper_latex/sections/08_appendix_experiments.tex,ok,GAT-MAPPO radius 4 dropout 0.50 collision.
C3,results/comm_dropout_robustness_summary.csv,0.053,paper_latex_en/sections/08_appendix_experiments.tex,paper_latex/sections/08_appendix_experiments.tex,ok,EA-RG-MAPPO-S radius 8 dropout 0.50 collision.
C3,results/comm_dropout_robustness_summary.csv,0.293,paper_latex_en/sections/08_appendix_experiments.tex,paper_latex/sections/08_appendix_experiments.tex,ok,MAPPO radius 8 dropout 0.50 collision.
C3,results/comm_dropout_robustness_summary.csv,0.173,paper_latex_en/sections/08_appendix_experiments.tex,paper_latex/sections/08_appendix_experiments.tex,ok,GAT-MAPPO radius 8 dropout 0.50 collision.
C4,results/aggregate_robustness_summary.csv,0.903,paper_latex_en/sections/08_appendix_experiments.tex,paper_latex/sections/08_appendix_experiments.tex,ok,final_cross_radius EA-RG-MAPPO-S mean_success.
C4,results/aggregate_robustness_summary.csv,0.072,paper_latex_en/sections/08_appendix_experiments.tex,paper_latex/sections/08_appendix_experiments.tex,ok,final_cross_radius EA-RG-MAPPO-S mean_collision.
C4,results/aggregate_robustness_summary.csv,0.793,paper_latex_en/sections/08_appendix_experiments.tex,paper_latex/sections/08_appendix_experiments.tex,ok,final_cross_radius EA-RG-MAPPO-S conservative_margin.
C4,results/aggregate_robustness_summary.csv,0.892,paper_latex_en/sections/08_appendix_experiments.tex,paper_latex/sections/08_appendix_experiments.tex,ok,dropout_diagnostic EA-RG-MAPPO-S mean_success.
C4,results/aggregate_robustness_summary.csv,0.070,paper_latex_en/sections/08_appendix_experiments.tex,paper_latex/sections/08_appendix_experiments.tex,ok,dropout_diagnostic EA-RG-MAPPO-S mean_collision.
C4,results/aggregate_robustness_summary.csv,0.747,paper_latex_en/sections/08_appendix_experiments.tex,paper_latex/sections/08_appendix_experiments.tex,ok,dropout_diagnostic EA-RG-MAPPO-S conservative_margin.
C4,results/aggregate_robustness_summary.csv,0.107,paper_latex_en/sections/08_appendix_experiments.tex,paper_latex/sections/08_appendix_experiments.tex,ok,dropout_diagnostic EA-RG-MAPPO-S worst_collision.
C4,results/aggregate_robustness_summary.csv,0.320,paper_latex_en/sections/08_appendix_experiments.tex,paper_latex/sections/08_appendix_experiments.tex,ok,dropout_diagnostic MAPPO worst_collision.
C4,results/aggregate_robustness_summary.csv,0.187,paper_latex_en/sections/08_appendix_experiments.tex,paper_latex/sections/08_appendix_experiments.tex,ok,dropout_diagnostic GAT-MAPPO worst_collision.
C5,results/radius_interpolation_summary.csv,0.067,paper_latex_en/sections/08_appendix_experiments.tex,paper_latex/sections/08_appendix_experiments.tex,ok,EA-RG-MAPPO-S unseen radius 5 collision.
C5,results/radius_interpolation_summary.csv,0.227,paper_latex_en/sections/08_appendix_experiments.tex,paper_latex/sections/08_appendix_experiments.tex,ok,MAPPO unseen radius 5 collision.
C5,results/radius_interpolation_summary.csv,0.113,paper_latex_en/sections/08_appendix_experiments.tex,paper_latex/sections/08_appendix_experiments.tex,ok,GAT-MAPPO unseen radius 5 collision.
C5,results/radius_interpolation_summary.csv,0.100,paper_latex_en/sections/08_appendix_experiments.tex,paper_latex/sections/08_appendix_experiments.tex,ok,EA-RG-MAPPO-S unseen radius 7 collision.
C5,results/radius_interpolation_summary.csv,0.200,paper_latex_en/sections/08_appendix_experiments.tex,paper_latex/sections/08_appendix_experiments.tex,ok,MAPPO unseen radius 7 collision.
C5,results/radius_interpolation_summary.csv,0.140,paper_latex_en/sections/08_appendix_experiments.tex,paper_latex/sections/08_appendix_experiments.tex,ok,GAT-MAPPO unseen radius 7 collision.
C5,results/radius_interpolation_summary.csv,0.067,paper_latex_en/sections/08_appendix_experiments.tex,paper_latex/sections/08_appendix_experiments.tex,ok,EA-RG-MAPPO-S unseen radius 9 collision.
C5,results/radius_interpolation_summary.csv,0.153,paper_latex_en/sections/08_appendix_experiments.tex,paper_latex/sections/08_appendix_experiments.tex,ok,MAPPO unseen radius 9 collision.
C5,results/radius_interpolation_summary.csv,0.173,paper_latex_en/sections/08_appendix_experiments.tex,paper_latex/sections/08_appendix_experiments.tex,ok,GAT-MAPPO unseen radius 9 collision.
C6,results/speed_robustness_summary.csv,0.097,paper_latex_en/sections/08_appendix_experiments.tex,paper_latex/sections/08_appendix_experiments.tex,ok,EA-RG-MAPPO-S radius 4 target_speed 0.90 collision.
C6,results/speed_robustness_summary.csv,0.240,paper_latex_en/sections/08_appendix_experiments.tex,paper_latex/sections/08_appendix_experiments.tex,ok,MAPPO radius 4 target_speed 0.90 collision.
C6,results/speed_robustness_summary.csv,0.237,paper_latex_en/sections/08_appendix_experiments.tex,paper_latex/sections/08_appendix_experiments.tex,ok,GAT-MAPPO radius 4 target_speed 0.90 collision.
C6,results/speed_robustness_summary.csv,0.130,paper_latex_en/sections/08_appendix_experiments.tex,paper_latex/sections/08_appendix_experiments.tex,ok,EA-RG-MAPPO-S radius 8 target_speed 0.90 collision.
C6,results/speed_robustness_summary.csv,0.300,paper_latex_en/sections/08_appendix_experiments.tex,paper_latex/sections/08_appendix_experiments.tex,ok,MAPPO radius 8 target_speed 0.90 collision.
C6,results/speed_robustness_summary.csv,0.203,paper_latex_en/sections/08_appendix_experiments.tex,paper_latex/sections/08_appendix_experiments.tex,ok,GAT-MAPPO radius 8 target_speed 0.90 collision.
C9,docs/english_experiments_draft.md,0.587,paper_latex_en/sections/05_experiments.tex,paper_latex/sections/05_experiments.tex,ok,Intent plain accuracy.
C9,docs/english_experiments_draft.md,0.200,paper_latex_en/sections/05_experiments.tex,paper_latex/sections/05_experiments.tex,ok,Intent balanced accuracy.
