scenario,label,evidence_role,paired_episodes,single_success_percent,multi_success_percent,success_delta_pp_ci95,single_recovery_percent,multi_recovery_percent,recovery_delta_pp_ci95,single_recovery_steps,multi_recovery_steps,recovery_steps_delta_ci95,single_steps,multi_steps,steps_delta_ci95,claim_status
relay_failure,Relay failure,Main node-failure evidence,90,92.2,100.0,"+7.8 [+2.2, +13.3]",92.2,100.0,"+7.8 [+2.2, +13.3]",21.8,5.6,"-16.2 [-28.0, -4.5]",61.8,45.6,"-16.2 [-28.0, -4.5]",Separated recovery evidence
scout_failure,Scout failure,Supporting node-failure evidence,90,94.4,96.7,"+2.2 [-3.3, +7.8]",94.4,96.7,"+2.2 [-3.3, +7.8]",17.1,12.7,"-4.4 [-16.2, +7.3]",57.1,52.7,"-4.4 [-16.2, +7.3]",Positive trend; CI crosses zero
dropout_030,Communication dropout 0.30,Communication robustness trend,90,93.3,96.7,"+3.3 [-2.2, +8.9]",NA,NA,NA,NA,NA,NA,59.5,52.7,"-6.9 [-18.8, +5.0]",Positive trend; CI crosses zero
delay_2,Two-step message delay,Communication robustness trend,90,94.4,96.7,"+2.2 [-3.3, +7.8]",NA,NA,NA,NA,NA,NA,57.2,52.6,"-4.5 [-16.3, +7.2]",Positive trend; CI crosses zero
radar_025,Radar dropout 0.25,Sensing robustness trend,90,92.2,94.4,"+2.2 [-4.4, +8.9]",NA,NA,NA,NA,NA,NA,62.0,57.4,"-4.5 [-18.8, +9.7]",Positive trend; CI crosses zero
range_075,Communication range 0.75,Stress / boundary case,90,96.7,94.4,"-2.2 [-8.9, +3.3]",NA,NA,NA,NA,NA,NA,52.4,57.5,"+5.0 [-6.8, +19.1]",Mixed; keep as stress case
