method,episodes,radius,target_speed,success_mean,success_std,collision_mean,collision_std,timeout_mean,timeout_std,avg_steps_mean,avg_steps_std,n
MAPPO,1,4.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,45.0,24.055491403558285,3
MAPPO,1,4.0,0.9,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,163.0,27.067816067549053,3
GAT-MAPPO,1,4.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,45.666666666666664,15.542057635833023,3
GAT-MAPPO,1,4.0,0.9,0.3333333333333333,0.4714045207910317,0.6666666666666666,0.4714045207910317,0.0,0.0,88.66666666666667,42.35039026450117,3
EA-RG-MAPPO-S,1,4.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,55.333333333333336,1.247219128924647,3
EA-RG-MAPPO-S,1,4.0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,71.0,42.29263135188761,3
