split,scenario,graph_encoder,n_training_seeds,checkpoint_updates,success_mean_mean,success_mean_std,post_failure_chain_recovered_mean_mean,post_failure_chain_recovered_mean_std,post_failure_chain_recovery_steps_mean_mean,post_failure_chain_recovery_steps_mean_std,tracking_during_failure_rate_mean_mean,tracking_during_failure_rate_mean_std,connectivity_during_failure_mean_mean,connectivity_during_failure_mean_std,steps_mean_mean,steps_mean_std,timeout_mean_mean,timeout_mean_std
validation,dropout030_relay_failure,multi_relation,3,"10,20,30,40,50,60",0.905556,0.11868,0.905556,0.11868,5.67659,0.433076,0.919239,0.10125,0.320883,0.0166067,65.9389,25.3013,0.0944444,0.11868
validation,dropout030_relay_failure,single,3,"10,20,30,40,50,60",0.794444,0.119913,0.794444,0.119913,5.03328,0.25235,0.826396,0.101202,0.319788,0.0124366,89.2389,25.652,0.205556,0.119913
test,dropout030_relay_failure,multi_relation,3,"10,30",0.966667,0.057735,0.966667,0.057735,5.90556,0.472679,0.972014,0.0484732,0.323737,0.0055281,53.05,12.1751,0.0333333,0.057735
test,dropout030_relay_failure,single,3,"30,50,60",0.883333,0.104083,0.883333,0.104083,5.45025,0.217102,0.901944,0.0873385,0.317414,0.0244668,70.4667,22.5261,0.116667,0.104083
