scenario,n_paired_episodes,full_success_mean,no_edge_features_success_mean,delta_success_mean,delta_success_ci_low,delta_success_ci_high,delta_success_p_bootstrap,full_post_failure_chain_recovered_mean,no_edge_features_post_failure_chain_recovered_mean,delta_post_failure_chain_recovered_mean,delta_post_failure_chain_recovered_ci_low,delta_post_failure_chain_recovered_ci_high,delta_post_failure_chain_recovered_p_bootstrap,full_post_failure_chain_recovery_steps_mean,no_edge_features_post_failure_chain_recovery_steps_mean,delta_post_failure_chain_recovery_steps_mean,delta_post_failure_chain_recovery_steps_ci_low,delta_post_failure_chain_recovery_steps_ci_high,delta_post_failure_chain_recovery_steps_p_bootstrap,full_tracking_during_failure_rate_mean,no_edge_features_tracking_during_failure_rate_mean,delta_tracking_during_failure_rate_mean,delta_tracking_during_failure_rate_ci_low,delta_tracking_during_failure_rate_ci_high,delta_tracking_during_failure_rate_p_bootstrap,full_connectivity_during_failure_mean,no_edge_features_connectivity_during_failure_mean,delta_connectivity_during_failure_mean,delta_connectivity_during_failure_ci_low,delta_connectivity_during_failure_ci_high,delta_connectivity_during_failure_p_bootstrap,full_steps_mean,no_edge_features_steps_mean,delta_steps_mean,delta_steps_ci_low,delta_steps_ci_high,delta_steps_p_bootstrap,full_timeout_mean,no_edge_features_timeout_mean,delta_timeout_mean,delta_timeout_ci_low,delta_timeout_ci_high,delta_timeout_p_bootstrap
relay_failure,30,1,0.966667,0.0333333,0,0.1,0.7284,1,0.966667,0.0333333,0,0.1,0.7102,5.46667,12.5333,-7.06667,-21.2667,0.1,0.4322,1,0.971667,0.0283333,0,0.085,0.7342,0.439921,0.437738,0.00218254,-0.00169378,0.0077295,0.4156,45.4667,52.5333,-7.06667,-21.2667,0.1,0.4278,0,0.0333333,-0.0333333,-0.1,0,0.7402
scout_failure,30,1,1,0,0,0,1,1,1,0,0,0,1,5.5,5.53333,-0.0333333,-0.233333,0.133333,0.8922,1,1,0,0,0,1,0.439524,0.439481,4.329e-05,-0.00233752,0.00257433,0.995,45.5,45.5333,-0.0333333,-0.233333,0.166667,0.9128,0,0,0,0,0,1
