scenario,n_paired_episodes,full_success_mean,no_role_pair_gate_success_mean,delta_success_mean,delta_success_ci_low,delta_success_ci_high,delta_success_p_bootstrap,full_post_failure_chain_recovered_mean,no_role_pair_gate_post_failure_chain_recovered_mean,delta_post_failure_chain_recovered_mean,delta_post_failure_chain_recovered_ci_low,delta_post_failure_chain_recovered_ci_high,delta_post_failure_chain_recovered_p_bootstrap,full_post_failure_chain_recovery_steps_mean,no_role_pair_gate_post_failure_chain_recovery_steps_mean,delta_post_failure_chain_recovery_steps_mean,delta_post_failure_chain_recovery_steps_ci_low,delta_post_failure_chain_recovery_steps_ci_high,delta_post_failure_chain_recovery_steps_p_bootstrap,full_tracking_during_failure_rate_mean,no_role_pair_gate_tracking_during_failure_rate_mean,delta_tracking_during_failure_rate_mean,delta_tracking_during_failure_rate_ci_low,delta_tracking_during_failure_rate_ci_high,delta_tracking_during_failure_rate_p_bootstrap,full_connectivity_during_failure_mean,no_role_pair_gate_connectivity_during_failure_mean,delta_connectivity_during_failure_mean,delta_connectivity_during_failure_ci_low,delta_connectivity_during_failure_ci_high,delta_connectivity_during_failure_p_bootstrap,full_steps_mean,no_role_pair_gate_steps_mean,delta_steps_mean,delta_steps_ci_low,delta_steps_ci_high,delta_steps_p_bootstrap,full_timeout_mean,no_role_pair_gate_timeout_mean,delta_timeout_mean,delta_timeout_ci_low,delta_timeout_ci_high,delta_timeout_p_bootstrap
relay_failure,30,1,1,0,0,0,1,1,1,0,0,0,1,5.64444,7.1,-1.63333,-2.06667,-1.23333,0,0.999663,1,0,0,0,1,0.438007,0.417036,0.0228848,0.0167722,0.0302514,0,45.6444,47.1,-1.63333,-2.06667,-1.23333,0,0,0,0,0,0,1
scout_failure,30,0.966667,0.933333,0.0666667,0,0.166667,0.2594,0.966667,0.933333,0.0666667,0,0.166667,0.2534,12.6889,21.3,-15.8,-37,-1.46667,0,0.9717,0.943135,0.0568651,0.000793651,0.139921,0.0244,0.435869,0.416887,0.0226372,0.0170625,0.0294844,0,52.6889,61.3,-15.8,-37.0667,-1.46667,0,0.0333333,0.0666667,-0.0666667,-0.166667,0,0.2618
