method,checkpoint,policy_source,seed,episode,episodes,target_policy,communication_range_scale,communication_dropout_prob,message_delay_steps,radar_dropout_prob,failed_blue_agent,node_failure_start_step,node_failure_duration_steps,graph_relation_ablation,graph_message_ablation,deterministic,success,chain_closed,attack_window_formed,attack_window_rate,tracking_rate,comm_connectivity,mean_message_age,collision,timeout,constraint_violation,steps,first_attack_window_step,first_chain_close_step,post_failure_chain_recovered,post_failure_chain_recovery_steps,chain_closed_during_failure_rate,tracking_during_failure_rate,connectivity_during_failure,avg_mean_range,final_mean_range,reward_sum
EA-RG-MAPPO-S,results/intercept_3d_no_role_pair_gate_baseline_smoke/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,40000,0,2,straight,1.0,0.0,0,0.0,-1,0,0,none,no_role_pair_gate,True,0.0,0.0,0.0,0.0,0.07820513053582265,1.0,26.63076861477815,0.0,1.0,0.0,260.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39107.850334284856,84304.0703125,7.9599903505295515
EA-RG-MAPPO-S,results/intercept_3d_no_role_pair_gate_baseline_smoke/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,40001,1,2,straight,1.0,0.0,0,0.0,-1,0,0,none,no_role_pair_gate,True,0.0,0.0,0.0,0.0,0.07692307921556327,1.0,26.63076861477815,0.0,1.0,0.0,260.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39093.498154860274,84304.6328125,7.845920719206333
