graph_encoder,train_seed,episode,rollout_seed,step,relative_step,node_failure_active,tracking_rate,comm_connectivity,chain_closed,attack_window_rate,mean_message_age,mean_range,success,timeout,collision
single,1,16,310016,65,25,1,0,0,0,0,18.6667,4263.06,0,0,0
single,1,16,310016,66,26,1,0,0,0,0,19.6667,4561.38,0,0,0
single,1,16,310016,67,27,1,0,0,0,0,20.6667,4874.9,0,0,0
single,1,16,310016,68,28,1,0,0,0,0,21.6667,5201.69,0,0,0
single,1,16,310016,69,29,1,0,0,0,0,22.6667,5536.17,0,0,0
single,1,16,310016,70,30,1,0,0,0,0,23.6667,5876.77,0,0,0
single,1,16,310016,71,31,1,0,0,0,0,24.6667,6221.41,0,0,0
single,1,16,310016,72,32,1,0,0,0,0,25.6667,6568.26,0,0,0
single,1,16,310016,73,33,1,0,0,0,0,26.6667,6916.32,0,0,0
single,1,16,310016,74,34,1,0,0,0,0,27.6667,7264.18,0,0,0
single,1,16,310016,75,35,1,0,0,0,0,28.6667,7611.46,0,0,0
single,1,16,310016,76,36,1,0,0,0,0,29.6667,7956.96,0,0,0
single,1,16,310016,77,37,1,0,0,0,0,30.6667,8300.67,0,0,0
single,1,16,310016,78,38,1,0,0,0,0,31.6667,8641.51,0,0,0
single,1,16,310016,79,39,1,0,0,0,0,32.6667,8979.72,0,0,0
single,1,16,310016,80,40,1,0,0,0,0,33.6667,9314.29,0,0,0
single,1,16,310016,81,41,1,0,0,0,0,34.6667,9645.57,0,0,0
single,1,16,310016,82,42,1,0,0,0,0,35.6667,9972.67,0,0,0
single,1,16,310016,83,43,1,0,0,0,0,36.6667,10296,0,0,0
single,1,16,310016,84,44,1,0,0,0,0,37.6667,10614.7,0,0,0
single,1,16,310016,85,45,1,0,0,0,0,38.6667,10929.2,0,0,0
single,1,16,310016,86,46,1,0,0,0,0,39.6667,11238.9,0,0,0
single,1,16,310016,87,47,1,0,0,0,0,40.6667,11544,0,0,0
single,1,16,310016,88,48,1,0,0,0,0,41.6667,11844,0,0,0
single,1,16,310016,89,49,1,0,0,0,0,42.6667,12139.2,0,0,0
single,1,16,310016,90,50,1,0,0,0,0,43.6667,12437.1,0,0,0
single,1,16,310016,91,51,1,0,0,0,0,44.6667,12732.1,0,0,0
single,1,16,310016,92,52,1,0,0,0,0,45.6667,13019.8,0,0,0
single,1,16,310016,93,53,1,0,0,0,0,46.6667,13312.5,0,0,0
single,1,16,310016,94,54,1,0,0,0,0,47.6667,13607.6,0,0,0
single,1,16,310016,95,55,1,0,0,0,0,48.6667,13907.6,0,0,0
