update,loss,policy_loss,value_loss,entropy,train_avg_reward,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_steps,eval_avg_distance
1,3.230349580446879,-0.009635801892727613,6.510253628094991,1.514142483472824,0.02497151680290699,0.65,0.25,0.1,72.95,3.7698368569215135
2,0.5598845755060514,-0.008462380423831442,1.1667408297459285,1.5023463865121205,0.043528150767087936,,,,,
3,4.070585568745931,0.00032459746580570936,8.169191797574362,1.4334889650344849,0.02325819991528988,,,,,
4,0.8696809162696203,-0.007717173779383302,1.7848946750164032,1.5049232343832653,0.18458278477191925,,,,,
5,2.050784081220627,-0.0024222073455651603,4.133503218491872,1.3545351227124531,0.05621245503425598,0.6,0.3,0.1,79.55,4.668450104196866
6,1.4086185097694397,-0.0038317980555196605,2.853835940361023,1.446766048669815,0.13836872577667236,,,,,
7,1.3553406198819478,-0.002992521816243728,2.7467137972513833,1.5023773113886516,0.06281103193759918,,,,,
8,1.2970756491025288,-0.004077392048202455,2.6336013078689575,1.5647604962189992,0.11813607066869736,,,,,
9,1.3254693547884624,-0.0040498726690808935,2.6893266240755715,1.5144121746222179,0.08115551620721817,,,,,
10,1.8108941912651062,-0.0041484099347144365,3.6611981789271035,1.5556476215521495,0.07345699518918991,0.8,0.2,0.0,45.75,2.963790306448936
11,0.8058221787214279,-0.0071474927438733475,1.6561306416988373,1.5095639725526173,0.06686072796583176,,,,,
12,2.797211706638336,-0.00344520506526654,5.631138722101848,1.4912475248177846,0.12937764823436737,,,,,
13,1.3060514877239864,-0.0018802556830147903,2.6464961568514505,1.5316336651643117,0.009605365805327892,,,,,
14,1.3277143438657124,-0.006656764579626421,2.7013603250185647,1.6309055884679158,0.04017040506005287,,,,,
15,0.656621073683103,-0.0017271493561565876,1.3470619718233745,1.5182765523592632,0.08493921905755997,0.65,0.3,0.05,71.6,3.7529342045386636
16,1.6735623081525166,-0.004000015401591857,3.3845834732055664,1.472941388686498,0.13747669756412506,,,,,
17,1.4706723093986511,-0.0035673451299468675,2.97783492008845,1.4677799145380657,0.0875684842467308,,,,,
18,1.5695933004220326,-0.003283256276821097,3.175893763701121,1.5070330401261647,0.09568902105093002,,,,,
19,1.740266392628352,-0.0037006666340554752,3.51574969291687,1.3907803694407146,0.038289424031972885,,,,,
20,1.5940586129824321,-0.00804819775900493,3.232166568438212,1.397647241751353,0.1381322145462036,0.8,0.2,0.0,66.95,3.074720853567123
