cohort,state_seed,step,snapshot_code,history_code,transition_label
A,83012,17,"{""age_steps"":[0,6,40,6,0,6,40,6,0],""comm"":[1,0,0,0,1,0,0,0,1],""support"":[0,0,0,0,0,0,0,0,0]}","{""age_steps"":[0,5,40,5,0,5,40,5,0],""comm"":[1,0,0,0,1,0,0,0,1],""support"":[0,0,0,0,0,0,0,0,0]}=>{""age_steps"":[0,6,40,6,0,6,40,6,0],""comm"":[1,0,0,0,1,0,0,0,1],""support"":[0,0,0,0,0,0,0,0,0]}",stable
A,83012,18,"{""age_steps"":[0,7,40,7,0,7,40,7,0],""comm"":[1,0,0,0,1,0,0,0,1],""support"":[0,0,0,0,0,0,0,0,0]}","{""age_steps"":[0,6,40,6,0,6,40,6,0],""comm"":[1,0,0,0,1,0,0,0,1],""support"":[0,0,0,0,0,0,0,0,0]}=>{""age_steps"":[0,7,40,7,0,7,40,7,0],""comm"":[1,0,0,0,1,0,0,0,1],""support"":[0,0,0,0,0,0,0,0,0]}",stable
A,83012,19,"{""age_steps"":[0,8,40,8,0,8,40,8,0],""comm"":[1,0,0,0,1,0,0,0,1],""support"":[0,0,0,0,0,0,0,0,0]}","{""age_steps"":[0,7,40,7,0,7,40,7,0],""comm"":[1,0,0,0,1,0,0,0,1],""support"":[0,0,0,0,0,0,0,0,0]}=>{""age_steps"":[0,8,40,8,0,8,40,8,0],""comm"":[1,0,0,0,1,0,0,0,1],""support"":[0,0,0,0,0,0,0,0,0]}",stable
A,83012,20,"{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,1,0,0,0,0,0,1,0]}","{""age_steps"":[0,8,40,8,0,8,40,8,0],""comm"":[1,0,0,0,1,0,0,0,1],""support"":[0,0,0,0,0,0,0,0,0]}=>{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,1,0,0,0,0,0,1,0]}",recovery
A,83012,21,"{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,1,0,0,0,0,0,1,0]}","{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,1,0,0,0,0,0,1,0]}=>{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,1,0,0,0,0,0,1,0]}",stable
A,83012,22,"{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,1,0,0,0,0,0,1,0]}","{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,1,0,0,0,0,0,1,0]}=>{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,1,0,0,0,0,0,1,0]}",stable
A,83012,23,"{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,1,0,0,0,0,0,1,0]}","{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,1,0,0,0,0,0,1,0]}=>{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,1,0,0,0,0,0,1,0]}",stable
A,83012,24,"{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,1,0,0,0,0,0,1,0]}","{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,1,0,0,0,0,0,1,0]}=>{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,1,0,0,0,0,0,1,0]}",stable
A,83012,25,"{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,1,0,0,0,0,0,1,0]}","{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,1,0,0,0,0,0,1,0]}=>{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,1,0,0,0,0,0,1,0]}",stable
A,83012,26,"{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,1,0,0,0,0,0,1,0]}","{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,1,0,0,0,0,0,1,0]}=>{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,1,0,0,0,0,0,1,0]}",stable
A,83012,27,"{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,1,0,0,0,0,0,1,0]}","{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,1,0,0,0,0,0,1,0]}=>{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,1,0,0,0,0,0,1,0]}",stable
A,83012,28,"{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,1,0,0,0,0,0,1,0]}","{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,1,0,0,0,0,0,1,0]}=>{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,1,0,0,0,0,0,1,0]}",stable
A,83012,29,"{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,1,0,0,0,0,0,1,0]}","{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,1,0,0,0,0,0,1,0]}=>{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,1,0,0,0,0,0,1,0]}",stable
A,83012,30,"{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,1,0,0,0,0,0,1,0]}","{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,1,0,0,0,0,0,1,0]}=>{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,1,0,0,0,0,0,1,0]}",stable
A,83012,31,"{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,1,0,0,0,0,0,1,0]}","{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,1,0,0,0,0,0,1,0]}=>{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,1,0,0,0,0,0,1,0]}",stable
A,83012,32,"{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,1,0,0,0,0,0,1,0]}","{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,1,0,0,0,0,0,1,0]}=>{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,1,0,0,0,0,0,1,0]}",stable
A,83013,1,"{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,0,0,0,0,0,0,0,0]}","{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,0,0,0,0,0,0,0,0]}=>{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,0,0,0,0,0,0,0,0]}",stable
A,83013,2,"{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,0,0,0,0,0,0,0,0]}","{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,0,0,0,0,0,0,0,0]}=>{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,0,0,0,0,0,0,0,0]}",stable
A,83013,3,"{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,0,0,0,0,0,0,0,0]}","{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,0,0,0,0,0,0,0,0]}=>{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,0,0,0,0,0,0,0,0]}",stable
A,83013,4,"{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,0,0,0,0,0,0,0,0]}","{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,0,0,0,0,0,0,0,0]}=>{""age_steps"":[0,0,40,0,0,0,40,0,0],""comm"":[1,1,0,1,1,1,0,1,1],""support"":[0,0,0,0,0,0,0,0,0]}",stable
