method,metric,unit,n_recovered_episodes,mean,note
single,recovered_only_recovery_steps,steps,0,nan,Conditional on episodes that recovered; use capped_recovery_steps for a comparable recovery-time proxy.
multi_relation,recovered_only_recovery_steps,steps,4,105.5,Conditional on episodes that recovered; use capped_recovery_steps for a comparable recovery-time proxy.
