split,scenario,graph_encoder,train_seed,checkpoint_update,method,checkpoint,policy_source,seed,episode,episodes,target_policy,strict_target_sensing,agent_target_info_bottleneck,max_target_message_age_steps,min_target_confidence,communication_range_scale,communication_dropout_prob,message_delay_steps,radar_dropout_prob,failed_blue_agent,node_failure_start_step,node_failure_duration_steps,graph_relation_ablation,graph_message_ablation,graph_input_ablation,deterministic,success,chain_closed,attack_window_formed,attack_window_rate,tracking_rate,comm_connectivity,mean_message_age,collision,timeout,constraint_violation,steps,first_attack_window_step,first_chain_close_step,post_failure_chain_recovered,post_failure_chain_recovery_steps,post_failure_chain_recovery_steps_censored,post_failure_chain_recovered_only_steps,post_failure_chain_maintained,post_failure_chain_recovered_after_loss,post_failure_chain_unrecovered,post_failure_first_chain_step,chain_closed_during_failure_rate,tracking_during_failure_rate,connectivity_during_failure,avg_mean_range,final_mean_range,episode_min_blue_red_distance,episode_min_blue_blue_distance,final_min_blue_red_distance,final_min_blue_blue_distance,reward_sum,variant
test,dropout030_relay_failure,single,0,20,EA-RG-MAPPO-S,results/param_matched_single_graph_3seed_bottleneck_strict_update60_dev/runs/single/bc_ppo_seed0/actor_critic_update_0020.pt,checkpoint,369010,10,20,straight,True,True,80,0.2,1.0,0.3,0,0.0,1,40,80,none,none,none,True,1.0,1.0,1.0,0.0296296305126614,0.2444444517294565,0.7074074165688621,33.39629635711511,0.0,0.0,0.0,45.0,42.0,45.0,1.0,5.0,5.0,5.0,0.0,1.0,0.0,45.0,0.1666666666666666,0.3333333432674408,0.2777777860562007,15472.62892795139,7614.95263671875,3565.31884765625,1866.7515869140625,3565.31884765625,5223.17529296875,32.058978110551834,param_matched_single_h240_update60
test,dropout030_relay_failure,single,0,20,EA-RG-MAPPO-S,results/param_matched_single_graph_3seed_bottleneck_strict_update60_dev/runs/single/bc_ppo_seed0/actor_critic_update_0020.pt,checkpoint,369015,15,20,straight,True,True,80,0.2,1.0,0.3,0,0.0,1,40,80,none,none,none,True,1.0,1.0,1.0,0.0296296305126614,0.2296296364731258,0.6703703774346246,29.611111508806548,0.0,0.0,0.0,45.0,42.0,45.0,1.0,5.0,5.0,5.0,0.0,1.0,0.0,45.0,0.1666666666666666,0.3333333432674408,0.1944444502393404,15316.039008246527,7266.84619140625,3671.303955078125,1496.654296875,3671.303955078125,5182.8310546875,31.81039777398109,param_matched_single_h240_update60
test,dropout030_relay_failure,single,0,20,EA-RG-MAPPO-S,results/param_matched_single_graph_3seed_bottleneck_strict_update60_dev/runs/single/bc_ppo_seed0/actor_critic_update_0020.pt,checkpoint,369016,16,20,straight,True,True,80,0.2,1.0,0.3,0,0.0,1,40,80,none,none,none,True,1.0,1.0,1.0,0.0182291672099381,0.1484375044237822,0.2421875033760443,41.29687524132896,0.0,0.0,0.0,128.0,42.0,128.0,1.0,88.0,88.0,88.0,0.0,1.0,0.0,128.0,0.0,0.0875000026077032,0.037500001117587,11860.569965362549,10352.4697265625,1777.5321044921875,1811.992431640625,4991.9599609375,12741.33984375,30.067580558359623,param_matched_single_h240_update60
test,dropout030_relay_failure,single,0,20,EA-RG-MAPPO-S,results/param_matched_single_graph_3seed_bottleneck_strict_update60_dev/runs/single/bc_ppo_seed0/actor_critic_update_0020.pt,checkpoint,369011,11,20,straight,True,True,80,0.2,1.0,0.3,0,0.0,1,40,80,none,none,none,True,1.0,1.0,1.0,0.0169082130642904,0.1545893765877986,0.2391304376980532,43.54106312471888,0.0,0.0,0.0,138.0,43.0,138.0,1.0,98.0,98.0,98.0,0.0,1.0,0.0,138.0,0.0,0.0833333358168602,0.0416666679084301,11795.260452049366,9594.1787109375,2010.5386962890625,1757.95361328125,4677.26953125,10231.76953125,30.84582187142223,param_matched_single_h240_update60
test,dropout030_relay_failure,single,0,20,EA-RG-MAPPO-S,results/param_matched_single_graph_3seed_bottleneck_strict_update60_dev/runs/single/bc_ppo_seed0/actor_critic_update_0020.pt,checkpoint,369018,18,20,straight,True,True,80,0.2,1.0,0.3,0,0.0,1,40,80,none,none,none,True,1.0,1.0,1.0,0.0068027212911722,0.1547619093741689,0.1556122467225911,67.50170064489453,0.0,0.0,0.0,196.0,193.0,196.0,1.0,156.0,156.0,156.0,0.0,1.0,0.0,196.0,0.0,0.004166666790843,0.0354166677221655,12335.88818608498,9994.5751953125,3339.720947265625,1777.3707275390625,4881.91796875,10942.23046875,24.834956284612417,param_matched_single_h240_update60
test,dropout030_relay_failure,single,0,20,EA-RG-MAPPO-S,results/param_matched_single_graph_3seed_bottleneck_strict_update60_dev/runs/single/bc_ppo_seed0/actor_critic_update_0020.pt,checkpoint,369012,12,20,straight,True,True,80,0.2,1.0,0.3,0,0.0,1,40,80,none,none,none,True,0.0,0.0,0.0,0.0,0.0602564120521912,0.1782051313381928,81.09743592188909,0.0,1.0,0.0,260.0,-1.0,-1.0,0.0,220.0,220.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0395833345130085,12590.739270958533,22260.474609375,549.2505493164062,1830.7984619140625,3437.733154296875,9984.2314453125,-1.1519351485185323,param_matched_single_h240_update60
test,dropout030_relay_failure,single,0,20,EA-RG-MAPPO-S,results/param_matched_single_graph_3seed_bottleneck_strict_update60_dev/runs/single/bc_ppo_seed0/actor_critic_update_0020.pt,checkpoint,369013,13,20,straight,True,True,80,0.2,1.0,0.3,0,0.0,1,40,80,none,none,none,True,0.0,0.0,1.0,0.0025641026405187,0.0576923094116724,0.1698717974126339,81.72499962322988,0.0,1.0,0.0,260.0,110.0,-1.0,0.0,220.0,220.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0416666679084301,12508.207384314905,22854.306640625,451.0281066894531,1670.4453125,5685.10107421875,11268.19921875,-0.6639902601018548,param_matched_single_h240_update60
test,dropout030_relay_failure,single,0,20,EA-RG-MAPPO-S,results/param_matched_single_graph_3seed_bottleneck_strict_update60_dev/runs/single/bc_ppo_seed0/actor_critic_update_0020.pt,checkpoint,369014,14,20,straight,True,True,80,0.2,1.0,0.3,0,0.0,1,40,80,none,none,none,True,0.0,0.0,0.0,0.0,0.0576923094116724,0.1871794903507599,81.61089749101262,0.0,1.0,0.0,260.0,-1.0,-1.0,0.0,220.0,220.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.004166666790843,0.0395833345130085,12512.411600435697,22026.611328125,429.7505187988281,1960.8104248046875,4933.1767578125,9858.513671875,-0.983243545051664,param_matched_single_h240_update60
test,dropout030_relay_failure,single,0,20,EA-RG-MAPPO-S,results/param_matched_single_graph_3seed_bottleneck_strict_update60_dev/runs/single/bc_ppo_seed0/actor_critic_update_0020.pt,checkpoint,369017,17,20,straight,True,True,80,0.2,1.0,0.3,0,0.0,1,40,80,none,none,none,True,0.0,0.0,1.0,0.0012820513202593,0.1051282082612697,0.1833333366192304,80.36474326166969,0.0,1.0,0.0,260.0,42.0,-1.0,0.0,220.0,220.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.008333333581686,0.037500001117587,11901.994771634616,14711.89453125,2123.280029296875,2030.4127197265625,2123.280029296875,8712.9091796875,8.242791102267802,param_matched_single_h240_update60
test,dropout030_relay_failure,single,0,20,EA-RG-MAPPO-S,results/param_matched_single_graph_3seed_bottleneck_strict_update60_dev/runs/single/bc_ppo_seed0/actor_critic_update_0020.pt,checkpoint,369019,19,20,straight,True,True,80,0.2,1.0,0.3,0,0.0,1,40,80,none,none,none,True,0.0,0.0,1.0,0.0012820513202593,0.0641025660129693,0.186538464232133,83.09807669778283,0.0,1.0,0.0,260.0,42.0,-1.0,0.0,220.0,220.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.012500000372529,0.0479166680946946,13906.016610952523,19942.646484375,2311.71630859375,1742.2061767578125,3902.314453125,3549.671630859375,0.5812551146373153,param_matched_single_h240_update60
