variant,success_mean,success_std,post_failure_chain_recovered_mean,post_failure_chain_recovered_std,timeout_mean,timeout_std,collision_mean,collision_std,steps_mean,steps_std,tracking_during_failure_rate_mean,tracking_during_failure_rate_std,chain_closed_during_failure_rate_mean,chain_closed_during_failure_rate_std,connectivity_during_failure_mean,connectivity_during_failure_std
full_multi_update60,0.91,0.28762349126466136,0.91,0.28762349126466136,0.09,0.28762349126466136,0.0,0.0,73.42,67.8148370285745,0.7845039724537304,0.31931033217340815,0.13791269841269838,0.06495553678506992,0.20989319408599225,0.06486542560588582
param_matched_single_h240_update60,0.31,0.4648231987117318,0.31,0.4648231987117318,0.69,0.46482319871173183,0.0,0.0,201.45,91.2468485687992,0.19675595542415977,0.3236810740086801,0.03556583694083693,0.06699573753027795,0.09012259768345757,0.07961753970269353
